last_name,first_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,city/county,state/country,school name,school city/county,school state/country,public school
Brown,Sherrod,11/9/1952,M,sen,OH,,1.0,Democrat,https://www.brown.senate.gov,713 Hart Senate Office Building Washington DC 20510,202-224-2315,http://www.brown.senate.gov/contact/,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,SenSherrodBrown,SenatorSherrodBrown,SherrodBrownOhio,UCgy8jfERh-t_ixkKKoCmglQ,B000944,136.0,N00003535,S307,"H2OH13033,S6OH00163",5051.0,400050,27018.0,Sherrod Brown,,29389.0,Sherrod Brown,Mansfield,Ohio,,,,0
Cantwell,Maria,10/13/1958,F,sen,WA,,1.0,Democrat,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,http://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,SenatorCantwell,senatorcantwell,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,C000127,172.0,N00007836,S275,"S8WA00194,H2WA01054",26137.0,300018,27122.0,Maria Cantwell,,39310.0,Maria Cantwell,Indianapolis,Ind,,Indianapolis,Indianapolis,1
Cardin,Benjamin,10/5/1943,M,sen,MD,,1.0,Democrat,https://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,http://www.cardin.senate.gov/contact/,http://www.cardin.senate.gov/rss/feeds/?type=all,SenatorCardin,senatorbencardin,senatorcardin,UCiQaJnMzlfzzG3VESgyZChA,C000141,174.0,N00001955,S308,"H6MD03177,S6MD03177",4004.0,400064,26888.0,Ben Cardin,,15408.0,Ben Cardin,Baltimore,Md,,,,1
Carper,Thomas,1/23/1947,M,sen,DE,,1.0,Democrat,https://www.carper.senate.gov/public,513 Hart Senate Office Building Washington DC 20510,202-224-2441,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,http://www.carper.senate.gov/public/index.cfm/rss/feed,SenatorCarper,tomcarper,senatorcarper,UCgLnvbKwu4B3navofj6Qvvw,C000174,179.0,N00012508,S277,S8DE00079,663.0,300019,22421.0,Tom Carper,,15015.0,Tom Carper,Beckley,W.Va,,,,1
Casey,Robert,4/13/1960,M,sen,PA,,1.0,Democrat,https://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,202-224-6324,https://www.casey.senate.gov/contact/,http://www.casey.senate.gov/rss/feeds/?all,SenBobCasey,SenatorBobCasey,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,C001070,1828.0,N00027503,S309,S6PA00217,47036.0,412246,2541.0,"Bob Casey, Jr.",,40703.0,Bob Casey Jr.,Scranton,Penn,,,,0
Corker,Bob,8/24/1952,M,sen,TN,,1.0,Republican,https://www.corker.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3344,https://www.corker.senate.gov/public/index.cfm/emailme,http://www.corker.senate.gov/public/index.cfm/rss/feed,SenBobCorker,bobcorker,senatorcorker,UCm7if_szz7DxfcdYGrywHSA,C001071,1825.0,N00027441,S310,"S6TN00216,S4TN00187",1021114.0,412248,65905.0,Bob Corker,,40705.0,Bob Corker,Orangeburg,S.C,,Chattanooga,Tenn.,1
Feinstein,Dianne,6/22/1933,F,sen,CA,,1.0,Democrat,https://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,http://www.feinstein.senate.gov/public/?a=rss.feed,SenFeinstein,senatorfeinstein,SenatorFeinstein,UCtVC--6LR0ff2aOP8THpuEw,F000062,1332.0,N00007364,S221,S0CA00199,13061.0,300043,53273.0,Dianne Feinstein,,49300.0,Dianne Feinstein,San Francisco,Calif,Convent of  Sacred Heart High School,,,1
Hatch,Orrin,3/22/1934,M,sen,UT,,1.0,Republican,https://www.hatch.senate.gov,104 Hart Senate Office Building Washington DC 20510,202-224-5251,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,http://www.hatch.senate.gov/public/index.cfm/rss/feed,SenOrrinHatch,senatororrinhatch,SenatorOrrinHatch,UCQUPyPV_SR435OsPiFNIWPQ,H000338,1351.0,N00009869,S118,"S6UT00063,P00003806",189.0,300052,53352.0,Orrin Hatch,,14503.0,Orrin Hatch,Homestead Park,Pa,,Pittsburgh,Pa.,1
Klobuchar,Amy,5/25/1960,F,sen,MN,,1.0,Democrat,https://www.klobuchar.senate.gov,302 Hart Senate Office Building Washington DC 20510,202-224-3244,http://www.klobuchar.senate.gov/public/index.cfm/contact,,,,senatorklobuchar,UCvdeJsDsV51tFb_hVqvtYGA,K000367,1826.0,N00027500,S311,S6MN00267,83701.0,412242,65092.0,Amy Klobuchar,,40700.0,Amy Klobuchar,Plymouth,Minn,,Plymouth,Plymouth,1
McCaskill,Claire,7/24/1953,F,sen,MO,,1.0,Democrat,https://www.mccaskill.senate.gov,503 Hart Senate Office Building Washington DC 20510,202-224-6154,http://www.mccaskill.senate.gov/contact,http://mccaskill.senate.gov/rss/?p=news,McCaskillOffice,senatormccaskill,SenatorMcCaskill,UCnarZ9jmNhI-eDcEPBwqMFw,M001170,1820.0,N00027694,S312,"S6MO00305,P80005721",1012014.0,412243,2109.0,Claire McCaskill,,40701.0,Claire McCaskill,Rolla,Mo,Hickman High School,Columbia,Mo.,0
