id,bio,api_out
C001059,"a Representative from California; born in Fresno, Fresno County, Calif., April 13, 1952; B.A., California State University, Fresno, Calif., 1974; member of the California state assembly, 1978-1994; member of the California state senate, 1994-2002; professional advocate; elected as a Democrat to the One Hundred Ninth and to the nine succeeding Congresses (January 3, 2005-present).","Time Period | Location
--- | ---
1952-1974 | Fresno, Fresno County, Calif.
1974-1978 | California State University, Fresno, Calif.
1978-1994 | California State Assembly
1994-2002 | California State Senate
2002-2004 | Professional advocate
2005-present | Congress"
S001158,"(Brother of Kenneth Salazar), a Representative from Colorado; born in Alamosa, Alamosa County, Colo., July 21, 1953; B.S., Adams State College, Alamosa, Colo., 1981; United States Army, 1973-1976; farmer; rancher; business owner; member of the Colorado Agricultural Commission, 1999-2002; member of the Colorado state house of representatives, 2003-2004; elected as a Democrat to the One Hundred Ninth and to the two succeeding Congresses (January 3, 2005-January 3, 2011); unsuccessful candidate for reelection to the One Hundred Twelfth Congress in 2010.","Time Period | Location
--- | ---
1953-1973 | Alamosa, Alamosa County, Colo.
1973-1976 | United States Army
1981-1999 | Alamosa, Colo.
1999-2002 | Colorado Agricultural Commission
2003-2004 | Colorado state house of representatives
2005-2011 | Congress"
M001155,"A Representative from Florida; born in Fort Myers, Lee County, Fla., August 12, 1967; B.S., University of Florida, Gainesville, Fla., 1993; member, Florida state house of representatives, 2000-2003; marketing executive; elected as a Republican to the One Hundred Ninth and to the three succeeding Congresses (January 3, 2005-January 3, 2013); was not a candidate for reelection to the One Hundred Thirteenth Congress in 2012, but was an unsuccessful candidate for election to the United States Senate.","Time Period | Location
--- | ---
1967-1993 | Fort Myers, Lee County, Fla.
1993-2000 | Gainesville, Fla.
2000-2003 | Florida state house of representatives
2003-2021 | Marketing executive
2005-2013 | Congress"
W000797,"a Representative from Florida; born in Forest Hills, Queens County, N.Y., September 27, 1966; graduated from Half Hollow Hills High School East, Dix Hills, N.Y., 1984; B.A., University of Florida, Gainesville, Fla., 1988; M.A., University of Florida, Gainesville, Fla., 1990; staff, United States Representative Peter Deutsch of Florida, 1989-1992; member of the Florida state house of representatives, 1992-2000; member of the Florida state senate, 2000-2004; elected as a Democrat to the One Hundred Ninth and to the nine succeeding Congresses (January 3, 2005-present).","Time Period | Location
--- | ---
1966-1984 | Forest Hills, Queens County, N.Y.
1984-1990 | Gainesville, Fla.
1990-2004 | Gainesville, Fla.
1992-2000 | Florida state house of representatives
2000-2004 | Florida state senate
2005-present | Congress"
P000591,"A Representative from Georgia; born in Lansing, Ingham County, Mich., October 8, 1954; graduated from Dearborn High School, Dearborn, Mich., 1972; A.B., University of Michigan, Ann Arbor, Mich., 1976; M.D., University of Michigan, Ann Arbor, Mich., 1979; physician; member of the Georgia state senate, 1997-2004; elected as a Republican to the One Hundred Ninth and to the six succeeding Congresses until his resignation on February 10, 2017 (January 3, 2005-February 10, 2017); chairman, Committee on Budget (One Hundred Fourteenth Congress); Secretary of Health and Human Services in the Cabinet of President Donald J. Trump, 2017.","Time Period | Location
--- | ---
1954-1972 | Lansing, Ingham County, Mich.
1972-1976 | Dearborn, Mich.
1976-1979 | Ann Arbor, Mich.
1979-2021 | Private practice as a physician
1997-2004 | Georgia state senate
2005-2017 | Congress
2017 | Secretary of Health and Human Services in the Cabinet of President Donald J. Trump"
W000796,"A Representative from Georgia; born in Atlanta, Fulton County, Ga., April 2, 1950; graduated from Therrell High School, Atlanta, Ga., 1968; attended Georgia State University, Atlanta, Ga., 1969-1971; real estate developer; member of the Georgia state house of representatives, 1993-2004, and minority leader, 2000-2004; elected as a Republican to the One Hundred Ninth and to the five succeeding Congresses (January 3, 2005-January 3, 2017); was not a candidate for reelection to the One Hundredth Fifteenth Congress in 2016.","Time Period | Location
--- | ---
1950-1968 | Atlanta, Fulton County, Ga.
1968-1971 | Atlanta, Ga.
1971-1993 | (Unknown)
1993-2004 | Georgia State House of Representatives
2000-2004 | Minority Leader
2005-2017 | Congress"
B001252,"A Representative from Georgia; born in Athens, Clarke County, Ga., October 31, 1955; graduated from Clarke Central High School, Athens, Ga., 1973; B.A., University of Georgia, Athens, Ga., 1976; J.D., Harvard University, Cambridge, Mass., 1979; lawyer, private practice; Athens-Clarke, Georgia, city-county commissioner, 1990-2004; elected as a Democrat to the One Hundred Ninth and to the four succeeding Congresses (January 3, 2005-January 3, 2015); unsuccessful candidate for reelection to the One Hundred Fourteenth Congress in 2014.","Time Period | Location
--- | ---
1955-1973 | Athens, Clarke County, Ga.
1973-1976 | Athens, Ga.
1976-1979 | Cambridge, Mass.
1979-2021 | Private practice
1990-2004 | Athens-Clarke, Georgia
2005-2015 | Congress"
