usCongressBioId,familyName,givenName,address,county,state,country,last_name,first_name,bioguide_id,city/county,state/country,different
W000374,White,Hays,"Fairfield, Jefferson County, Iowa",Jefferson County,IA,US,White,Hays,W000374,Maries County,Mo,1
L000226,Lehman,William,"Selma, Dallas County, Ala",Dallas County,AL,US,Lehman,William,L000226,Los Angeles,Calif,1
F000260,Ford,Gerald,"Omaha, Douglas County, Nebr",Douglas County,NE,US,Ford,Gerald,F000260,North McAlester,Okla,1
M000777,Mills,Roger,"Todd County, Ky",Todd County,KY,US,Mills,Roger,M000777,Todd County,Ky,0
W000724,Woods,John,"Johnstown, Dauphin County, Pa",Cambria County,PA,US,Woods,John,W000724,Johnstown,Pa,0
G000361,Graham,William,,,,,Graham,William,G000361,,,0
M000327,McCleery,James,"Mecca Township, Trumbull County, Ohio",Trumbull County,OH,US,McCleery,James,M000327,Mecca Township,Ohio,0
D000591,Dyer,Leonidas,"Warrenton, Warren County, Mo",Warren County,MO,US,Dyer,Leonidas,D000591,Pugwash,Canada,1
P000514,Preston,Francis,"Greenfield, Botetourt County, Va",Botetourt County,VA,US,Preston,Francis,P000514,Greenfield,Va,0
M001166,McNerney,Jerry,"Albuquerque, Bernalillo County, N. Mex",Bernalillo County,NM,US,McNerney,Jerry,M001166,Albuquerque,N.Mex,0
J000117,Johnson,Anton,"Peoria, Ill",Peoria County,IL,US,Johnson,Anton,J000117,Terre Haute,Ind,1
P000144,Paul,John,"Rockingham County, Va",Rockingham County,VA,US,Paul,John,P000144,Rockingham County,Va,0
K000016,Kasich,John,"McKees Rocks, Allegheny County, Pa",Allegheny County,PA,US,Kasich,John,K000016,McAlester,Okla,1
A000050,Adams,Wilbur,"Georgetown, Sussex County, Del",Sussex County,DE,US,Adams,Wilbur,A000050,Moulton,Ala,1
N000187,Negrete McLeod,Gloria,"Los Angeles, Los Angeles County, Calif",Los Angeles County,CA,US,Negrete McLeod,Gloria,N000187,Pensacola,Fla,1
J000052,James,Rorer,"Brosville, Pittsylvania County, Va",Pittsylvania County,VA,US,James,Rorer,J000052,Embreeville,Pa,1
M001023,Moseley,Jonathan,"East Haddam, Conn",Middlesex County,CT,US,Moseley,Jonathan,M001023,East Haddam,Conn,0
E000185,English,James,"New Haven, Conn",New Haven County,CT,US,English,James,E000185,New Haven,Conn,0
N000168,Nugen,Robert,"Hallidays Cove, Washington County, Pa",Washington County,PA,US,Nugen,Robert,N000168,Hallidays Cove,Pa,0
T000091,Taylor,John,"Charlton, N.Y",Saratoga County,NY,US,Taylor,John,T000091,Charlton,N.Y,0
P000451,Posey,Francis,"Petersburg, Pike County, Ind",Pike County,IN,US,Posey,Francis,P000451,Petersburg,Ind,0
A000115,Allen,Charles,"Worcester, Mass",Worcester County,MA,US,Allen,Charles,A000115,Worcester,Mass,0
H001018,Hutto,Earl,"Midland City, Dale County, Ala",Dale County,AL,US,Hutto,Earl,H001018,San Diego,Calif,1
O000069,Olin,James,"Chicago, Ill",Cook County,IL,US,Olin,James,O000069,Columbia,S.C,1
D000084,Davidson,James,"Colchester, Delaware County, N.Y",Delaware County,NY,US,Davidson,James,D000084,Coolville,Ohio,1
K000153,Ketchum,William,Los Angeles,Los Angeles County,CA,US,Ketchum,William,K000153,Bronx,N.Y,1
M001189,Messer,Luke,"Evansville, Vanderburgh County, Ind",Vanderburgh County,IN,US,Messer,Luke,M001189,Evansville,February,0
F000325,Fowler,Orin,"Lebanon, Conn",New London County,CT,US,Fowler,Orin,F000325,Lebanon,Conn,0
M000632,Meigs,Henry,"New Haven, Conn",New Haven County,CT,US,Meigs,Henry,M000632,New Haven,Conn,0
H000259,Harris,William,"Cedartown, Polk County, Ga",Polk County,GA,US,Harris,William,H000259,Orfordville,Wis,1
L000363,Livermore,Edward,"Portsmouth, N.H",Rockingham County,NH,US,Livermore,Edward,L000363,Portsmouth,N.H,0
W000231,Webb,Edwin,"Shelby, Cleveland County, N.C",Cleveland County,NC,US,Webb,Edwin,W000231,Farmington,Utah,1
M000262,Maury,Abram,"Franklin, Williamson County, Tenn",Williamson County,TN,US,Maury,Abram,M000262,Franklin,Tenn,0
H000609,Hill,William,"Nelson County, Va",Nelson County,VA,US,Hill,William,H000609,Nelson County,Va,0
W000661,Witherspoon,Robert,"Kingstree, Williamsburg County, S.C",Williamsburg County,SC,US,Witherspoon,Robert,W000661,Kingstree,S.C,0
G000224,Gingery,Don,"Woodland, Clearfield County, Pa",Clearfield County,PA,US,Gingery,Don,G000224,Montgomery,Ala,1
M000798,Minor,Edward,"Point Peninsula, Jefferson County, N.Y",Jefferson County,NY,US,Minor,Edward,M000798,Point Peninsula,N.Y,0
T000212,Thompson,Philip,"Harrodsburg, Mercer County, Ky",Mercer County,KY,US,Thompson,Philip,T000212,Harrodsburg,Ky,0
C000934,Crouch,Edward,"Walnut Hill,  Highspire, Paxtang Township,Dauphin County, Pa",Dauphin County,PA,US,Crouch,Edward,C000934,Walnut Hill,Pa,0
M000848,Monaghan,Joseph,"Butte, Mont",Silver Bow County,MT,US,Monaghan,Joseph,M000848,Jersey City,N.J,1
P000328,Pickle,James,"Big Spring, Howard County, Tex",Howard County,TX,US,Pickle,James,P000328,Munhall,Pa,1
S000921,Stewart,William,"Mercer, Mercer County, Pa",Mercer County,PA,US,Stewart,William,S000921,Mercer,Pa,0
H000873,Hoxworth,Stephen,"Maquon Township,  Maquon, Knox County, Ill",Knox County,IL,US,Hoxworth,Stephen,H000873,Maquon Township,Ill,0
D000207,De Lano,Milton,"Wampsville, Madison County, N.Y",Madison County,NY,US,De Lano,Milton,D000207,Wampsville,N.Y,0
P000282,Peyton,Balie,"Gallatin, Tenn",Sumner County,TN,US,Peyton,Balie,P000282,Gallatin,Tenn,0
B000835,Bright,Jesse,"Norwich, Chenango County, N.Y",Chenango County,NY,US,Bright,Jesse,B000835,Norwich,N.Y,0
C000037,Caldwell,Joseph,"Olin, Iredell County, N.C",Iredell County,NC,US,Caldwell,Joseph,C000037,Olin,N.C,0
S000472,Skubitz,Joe,"Frontenac, Crawford County, Kans",Crawford County,KS,US,Skubitz,Joe,S000472,Oshkosh,Wis,1
H000520,Henry,William,"Charlestown, N.H",Sullivan County,NH,US,Henry,William,H000520,Charlestown,N.H,0
V000019,Vance,Robert,"Reems Creek,  Asheville, Buncombe County, N.C",Buncombe County,NC,US,Vance,Robert,V000019,Reems Creek,N.C,0
W000548,Williams,William,"Detroit, Pike County, Ill",Pike County,IL,US,Williams,William,W000548,Detroit,Ill,0
S000188,Scott,William,"Washington, D.C",District of Columbia,DC,US,Scott,William,S000188,Washington,D.C,0
B000566,Bloomfield,Joseph,"Woodbridge, Middlesex County, N.J",Middlesex County,NJ,US,Bloomfield,Joseph,B000566,Woodbridge,N.J,0
S000022,Samford,William,"Greenville, Meriwether County, Ga",Meriwether County,GA,US,Samford,William,S000022,Greenville,Ga,0
H000170,Hansen,Clifford,"Zenith, Teton  County, Wyo",Teton County,WY,US,Hansen,Clifford,H000170,Firth,Idaho,1
R000089,Rea,John,"Reas Mansion,  Chambersburg, Pa",Franklin County,PA,US,Rea,John,R000089,Reas Mansion,Pa,0
C000467,Clarke,Marian,"Standing Stone, Bradford County, Pa",Bradford County,PA,US,Clarke,Marian,C000467,Caldwell,Idaho,1
W000118,Walworth,Reuben,"Bozrah, Conn",New London County,CT,US,Walworth,Reuben,W000118,Bozrah,Conn,0
R000573,Ross,Michael,"Texarkana, Miller County, Ark",Miller County,AR,US,Ross,Mike,R000573,Rock Island,Ill,1
Y000064,Young,Todd,"Lancaster, Lancaster County, Pa",Lancaster County,PA,US,Young,Todd,Y000064,Lancaster,Pa,0
B000136,Barclay,David,"Punxsutawney, Jefferson County, Pa",Jefferson County,PA,US,Barclay,David,B000136,,,0
G000048,Gard,Warren,"Hamilton, Butler County, Ohio",Butler County,OH,US,Gard,Warren,G000048,Pittsburgh,Pa,1
B000423,Bethune,Lauchlin,"Fayetteville, Cumberland County, N.C",Cumberland County,NC,US,Bethune,Lauchlin,B000423,Fayetteville,N.C,0
C000488,Clay,William,"St. Louis, St. Louis County, Mo",,MO,US,Clay,William,C000488,Des Moines,Iowa,1
R000066,Rariden,James,"Cynthiana, Harrison County, Ky",Harrison County,KY,US,Rariden,James,R000066,Cynthiana,Ky,0
C000172,Carpenter,Terry,"Cedar Rapids, Linn County, Iowa",Linn County,IA,US,Carpenter,Terry,C000172,Anoka County,Minn,1
H000465,Helstoski,Henry,"Wallington, Bergen County, N.J",Bergen County,NJ,US,Helstoski,Henry,H000465,Prosser,Wash,1
S000537,Smith,George,,,,,Smith,George,S000537,,,0
G000418,Green,Theodore,"Providence, R.I",Providence County,RI,US,Green,Theodore,G000418,Toledo,Iowa,1
R000436,Rose,Charles,"Fayetteville, Cumberland County, N.C",Cumberland County,NC,US,Rose,Charles,R000436,Great Falls,Mont,1
B000073,Baker,Robert,"Bury St. Edmunds, England",Suffolk,England,GB,Baker,Robert,B000073,,,0
H000035,Hale,Nathan,"Gate City, Scott County, Va",Scott County,VA,US,Hale,Nathan,H000035,Gate City,Va,0
B000589,Boehner,John,"Cincinnati, Hamilton County, Ohio",Hamilton County,OH,US,Boehner,John,B000589,Hopkinsville,Ky,1
S000167,Scott,Charles,"Richmond, Henrico County, Va",,VA,US,Scott,Charles,S000167,Richmond,Va,0
F000149,Fisher,Hubert,"Milton, Santa Rosa County, Fla",Santa Rosa County,FL,US,Fisher,Hubert,F000149,Watertown,N.Y,1
E000243,Evans,Hiram,"Walnut Township, Wayne County, Iowa",Wayne County,IA,US,Evans,Hiram,E000243,Wapakoneta,Ohio,1
B001232,Biggert,Judy,"Chicago, Cook County, Ill",Cook County,IL,US,Biggert,Judy,B001232,Cleveland,Ohio,1
C000871,Crane,Daniel,"Chicago, Cook County, Ill",Cook County,IL,US,Crane,Daniel,C000871,Birmingham,Ala,1
T000357,Traynor,Philip,"Wilmington, New Castle County, Del",New Castle County,DE,US,Traynor,Philip,T000357,Ottawa,Kans,1
B000970,Bruce,Phineas,"Mendon, Mass",Worcester County,MA,US,Bruce,Phineas,B000970,Mendon,Mass,0
H000936,Hulburd,Calvin,"Stockholm, St. Lawrence County, N.Y",St. Lawrence County,NY,US,Hulburd,Calvin,H000936,Stockholm,N.Y,0
D000342,Dietz,William,"Schoharie, N.Y",Schoharie County,NY,US,Dietz,William,D000342,Schoharie,N.Y,0
S000864,Stephenson,James,"Gettysburg, Pa",Adams County,PA,US,Stephenson,James,S000864,Gettysburg,Pa,0
K000295,Knox,James,"Canajoharie, N.Y",Montgomery County,NY,US,Knox,James,K000295,Canajoharie,N.Y,0
A000007,Abbott,Josiah,"Chelmsford, Middlesex County, Mass",Middlesex County,MA,US,Abbott,Josiah,A000007,Chelmsford,Mass,0
T000029,Tallmadge,Benjamin,"Brookhaven, Long Island, N.Y",Suffolk County,NY,US,Tallmadge,Benjamin,T000029,Brookhaven,N.Y,0
S001058,Sullivan,Maurice,"San Rafael, Marin County, Calif",Marin County,CA,US,Sullivan,Maurice,S001058,Stockbridge,Mass,1
D000196,Degetau,Federico,"Ponce, P.R",Canas,Ponce,PR,Degetau,Federico,D000196,Ponce,P.R,0
