id,start_1,end_1,location_1,start_2,end_2,location_2,start_3,end_3,location_3,start_4,end_4,location_4,start_5,end_5,location_5,start_6,end_6,location_6,start_7,end_7,location_7,start_8,end_8,location_8,start_9,end_9,location_9,start_10,end_10,location_10,start_11,end_11,location_11,start_12,end_12,location_12,start_13,end_13,location_13,start_14,end_14,location_14,fips1,error1,fips2,error2,fips3,error3,fips4,error4,fips5,error5,fips6,error6,fips7,error7,fips8,error8,fips9,error9,fips10,error10,fips11,error11,fips12,error12,fips13,error13,fips14,error14
C001059,1952,1970,"Fresno, Fresno County, Calif.",1970,1974,"Fresno, Calif.",1978.0,1994.0,(California state assembly),1994,2002,(California state senate),2005.0,present,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,06019,,06019,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,,,
S001158,1953,1971,"Alamosa, Alamosa County, Colo.",1971,1973,(United States Army),1973.0,1976.0,(United States Army),1976,1981,"Alamosa, Colo.",1981.0,1999,(farmer; rancher; business owner),1999,2002,(member of the Colorado Agricultural Commission),2003,2004,(member of the Colorado state house of representatives),2005,2011,(Congress),,,,,,,,,,,,,,,,,,,08003,,,Not a location,,Not a location,08003,,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,
M001155,1967,1985,"Fort Myers, Lee County, Fla.",1985,1993,"Gainesville, Fla.",2000.0,2003.0,(Florida state house of representatives),2005,2013,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12071,,12001,,,Not a location,,Not a location,,,,,,,,,,,,,,,,,,,,
W000797,1966,1980,"Forest Hills, Queens County, N.Y.",1980,1984,"Dix Hills, N.Y.",1984.0,1988.0,"Gainesville, Fla.",1988,1990,"Gainesville, Fla.",1989.0,1992,"(staff, United States Representative Peter Deutsch of Florida)",1992,2000,(Florida state house of representatives),2000,2004,(Florida state senate),2005,present,(Congress),,,,,,,,,,,,,,,,,,,36081,,36103,,12001,,12001,,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,
P000591,1954,1972,"Lansing, Ingham County, Mich.",1972,1976,"Dearborn, Mich.",1976.0,1979.0,"Ann Arbor, Mich.",1997,2004,Georgia,2005.0,2017,(Congress),2017,,(Secretary of Health and Human Services in the Cabinet of President Donald J. Trump),,,,,,,,,,,,,,,,,,,,,,,,,26065,,26163,,26161,,,More than one matched place from Google,,Not a location,,Not a location,,,,,,,,,,,,,,,,
W000796,1950,1968,"Atlanta, Fulton County, Ga.",1969,1971,"Atlanta, Ga.",1993.0,2004.0,(Georgia state house of representatives),2005,2017,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13121,,13121,,,Not a location,,Not a location,,,,,,,,,,,,,,,,,,,,
B001252,1955,1969,"Athens, Clarke County, Ga.",1969,1973,"Athens, Ga.",1973.0,1976.0,"Athens, Ga.",1976,1979,"Cambridge, Mass.",1990.0,2004,"Athens-Clarke, Georgia",2005,2015,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,13059,,13059,,13059,,25017,,13059,,,Not a location,,,,,,,,,,,,,,,,
L000563,1966,1984,"Chicago, Cook County, Ill.",1984,1988,"Evanston, Ill.",1988.0,1989.0,"Stanford, Calif.",1993,1994,"(staff, United States Representative George Edward Sangmeister of Illinois)",1995.0,1996,"(staff, United States Representative Jerry Francis Costello of Illinois)",1999,2000,"(staff, United States Representative Rod R. Blagojevich of Illinois)",1989,1998,"Durham, N.C.",1998,2000,"Washington, D.C.",2000,2001,"South Bend, Ind.",2001,2004,"Knoxville, Tenn.",2005,2021,(Congress),,,,,,,,,,17031,,17031,,06085,,,Not a location,,Not a location,,Not a location,37063,,11001,,18141,,47093,,,Not a location,,,,,,
B001253,1962,1976,"Chicago, Cook County, Ill.",1976,1980,"Park Ridge, Ill.",1980.0,1982.0,"Des Plaines, Ill.",1982,2002,"Chicago, Ill.",2005.0,2011,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,17031,,17031,,17031,,17031,,,Not a location,,,,,,,,,,,,,,,,,,
S001160,1945,1963,"New Albany, Floyd County, Ind.",1963,1966,(Indiana University),1966.0,1973.0,(United States Army National Guard),1973,2005,(Business owner),2005.0,2007,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,18043,,18105,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,,,
D000603,1958,1972,"Montreal, Quebec, Canada",1972,1976,"West Pittsburgh, Pa.",1976.0,1981.0,"West Point, N.Y.",1981,1987,(U.S. Army),1987.0,2002,(manufacturer; consultant),2005,2012,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,More than one matched place from Google,36071,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,
J000287,1971,1984,"Baton Rouge, East Baton Rouge Parish, La.",1984,1988,"Baton Rouge, La.",1988.0,1991.0,"Providence, R.I.",1991,1994,"Oxford, England",1996.0,1998,(Louisiana department of health and hospitals),1998,1999,(National Bipartisan Commission on the Future of Medicare),1999,2001,(University of Louisiana system),2001,2003,(Department of Health and Human Services),2005,2008,(Congress),2008,2016,(Governor of Louisiana),,,,,,,,,,,,,22033,,22033,,44007,,,,,Not a location,,Not a location,,No county matched to string from Google,,Not a location,,Not a location,,Not a location,,,,,,,,
M001161,1947,1965,"Napoleonville, Assumption Parish, La.",1965,1971,"Lafayette, La.",1971.0,1987.0,(businessman),1987,1993,(Louisiana state house of representatives),2005.0,2011,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,22007,,22055,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,,,
B001255,1956,1970,"New Orleans, Orleans Parish, La.",1970,1974,"Lafayette, La.",1974.0,1978.0,"Lafayette, La.",1978,1982,"New Orleans, La.",2005.0,2017,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,22071,,22055,,22055,,22071,,,Not a location,,,,,,,,,,,,,,,,,,
S001161,1937,1955,"Battle Creek, Calhoun County, Mich.",1955,1959,"Battle Creek, Mich.",1959.0,1964.0,"Detroit, Mich.",1965,1967,(United States Navy),1968.0,1970,(Central Intelligence Agency),1979,1985,"Battle Creek, Mich.",1985,1987,"Battle Creek, Mich.",1987,2002,(Michigan state senate),2005,2007,(Congress),,,,,,,,,,,,,,,,26025,,26025,,26163,,,Not a location,,Not a location,26025,,26025,,,Not a location,,Not a location,,,,,,,,,,
C001060,1958,1975,"Columbia, Boone County, Mo.",1975,1979,"Columbia, Mo.",1979.0,1983.0,"Columbia, Mo.",1990,,(unsuccessful candidate for election the United States House of Representatives),2000.0,2004,(Missouri state house of representatives),2005,2013,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,29019,,29019,,29019,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,
C001061,1944,1963,"Wichita Falls, Tex.",1963,1972,"Prairie View, Tex.",1972.0,1974.0,"Kansas City, Mo.",1974,2005,"Kansas City, Mo.",2005.0,present,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,48485,,48473,,29095,,29095,,,Not a location,,,,,,,,,,,,,,,,,,
F000449,1960,1978,"Baton Rouge, East Baton Rouge Parish, La.",1978,1982,"Baton Rouge, La.",1982.0,1986.0,"Washington, D.C.",1986,1996,"Steubenville, Ohio",1997.0,2001,"Lincoln, Nebr.",2005,2022,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,22033,,22033,,11001,,39081,,31109,,,Not a location,,,,,,,,,,,,,,,,
H001038,1959,1974,"Buffalo, Erie County, N.Y.",1974,1978,"Buffalo, N.Y.",1978.0,1984.0,"Buffalo, N.Y.",1984,1985,"Buffalo, N.Y.",1994.0,1996,"Cambridge, Mass.",1988,1994,"Buffalo, N.Y.",1999,2004,New York state assembly,2005,present,(Congress),,,,,,,,,,,,,,,,,,,36029,,36029,,36029,,36029,,25017,,36029,,36061,,,Not a location,,,,,,,,,,,,
K000364,1943,1961,"Bath, Steuben County, N.Y.",1961,1966,"Schenectady, N.Y.",1966.0,1969.0,"Syracuse, N.Y.",1981,1986,(New York state assembly),1987.0,2004,(New York state senate),2005,2009,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,More than one matched place from Google,36093,,36067,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,
F000450,1943,1961,"New York, New York County, N.Y.",1961,1968,"Chapel Hill, N.C.",1968.0,1972.0,"Chapel Hill, N.C.",1972,1985,"Greensboro, N.C.",1985.0,1987,"Hudson, N.C.",1987,1994,"Spruce Pine, N.C.",1994,2004,(North Carolina state senate),2005,present,(Congress),,,,,,,,,,,,,,,,,,,36061,,37135,,37135,,37081,,37027,,37121,,,Not a location,,Not a location,,,,,,,,,,,,
M001156,1975,1990,"Charlotte, Mecklenburg County, N.C.",1990,1994,"Gastonia, N.C.",1994.0,1999.0,"Raleigh, N.C./Belmont, N.C.",1999,2001,(realtor),2001.0,2002,(special assistant to the United States Secretary of Labor),2002,2004,(member of the North Carolina state house of representatives),2005,present,(Congress),,,,,,,,,,,,,,,,,,,,,,37119,,37071,,,More than one matched place from Google,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,
B001254,1973,1985,"Shawnee, Pottawatomie County, Okla.",1985,1989,(United States Capitol Page School),1989.0,1997.0,"Fort Worth, Tex.",1997,2001,Oklahoma,2001.0,2002,"(staff, United States Representative Wesley Watkins of Oklahoma)",2002,2004,(Oklahoma state house of representatives),2005,2013,(Congress),,,,,,,,,,,,,,,,,,,,,,40125,,11001,,48439,,,No county matched to string from Google,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,
F000451,1963,1981,"Philadelphia, Philadelphia County, Pa.",1981,1985,"Miami Gardens, Florida",1985.0,1988.0,"Carlisle, Pa.",1995,2004,"Bucks County, Pa.",2005.0,2007,(Congress),2011,2017,(Congress),2020,,"Upper Makefield Township, Pa.",,,,,,,,,,,,,,,,,,,,,,,More than one matched place from Google,12086,,42041,,42017,,,Not a location,,Not a location,42017,,,,,,,,,,,,,,,
S001162,1948,1962,"Queens, Queens County, N.Y.",1962,1966,"New York, N.Y.",1966.0,1970.0,"Boston, Mass.",1970,1972,"Bryn Mawr, Pa.",1991.0,2004,(Pennsylvania state senate),2005,2015,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,36081,,36061,,25025,,42091,,,Not a location,,Not a location,,,,,,,,,,,,,,,,
D000604,1960,1974,"Allentown, Lehigh County, Pa.",1974,1978,"Allentown, Pa.",1978.0,1982.0,"University Park, Pa.",1982,1993,"Bethlehem, Pa.",1991.0,1998,(Pennsylvania state house of representatives),1999,2004,(Pennsylvania state senate),2005,2018,(Congress),,,,,,,,,,,,,,,,,,,,,,42077,,42077,,42027,,42095,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,
G000552,1953,1967,"Pittsburg, Camp County, Tex.",1967,1971,"Mount Pleasant, Tex.",1971.0,1975.0,"College Station, Tex.",1975,1977,"Waco, Tex.",1978.0,1982,(United States Army),1982,1992,"(lawyer, private practice)",1992,2002,"Smith County, Tex.",2002,2003,"(chief justice, Texas state twelfth circuit court of appeals)",2005,2023,(Congress),,,,,,,,,,,,,,,,48063,,48449,,48041,,48309,,,Not a location,,Not a location,48423,,,Not a location,,Not a location,,,,,,,,,,
P000592,1948,1966,"Temple, Bell County, Tex.",1966,1970,"Abilene, Tex.",1970.0,1973.0,"Houston, Tex.",1973,1981,"Houston, Tex.",1981.0,2003,"Houston, Tex.",2005,2019,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,48027,,48441,,48201,,48201,,48201,,,Not a location,,,,,,,,,,,,,,,,
G000553,1947,1966,"New Orleans, Jefferson Parish, La.",1966,1971,"Tallahassee, Fla.",1971.0,1974.0,"Tuskegee, Ala.",1974,1977,"Houston, Tex.",1977.0,2004,"Harris County, Tex.",2005,present,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,More than one matched place from Google,12073,,01087,,48201,,48201,,,Not a location,,,,,,,,,,,,,,,,
M001157,1962,1980,"Dallas, Dallas County, Tex.",1980,1984,"San Antonio, Tex.",1984.0,1987.0,"San Antonio, Tex.",1987,2005,"(lawyer, private practice; deputy attorney general, office of the Texas state attorney general)",2005.0,present,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,48113,,48029,,48029,,,Not a location,,Not a location,,,,,,,,,,,,,,,,,,
C001062,1948,1962,"Borger, Hutchinson County, Tex.",1962,1966,"Odessa, Tex.",1966.0,1970.0,"Commerce, Tex.",1970,1972,(United States Army),1972.0,1985,"Midland, Tex.",1985,1988,"Midland, Tex.",2005,2021,(Congress),,,,,,,,,,,,,,,,,,,,,,48233,,48135,,48231,,,Not a location,48329,,48329,,,Not a location,,,,,,,,,,,,,,
M001158,1951,1969,"Bonham, Fannin County, Tex.",1969,1974,"Bethany, Okla.",1975.0,1976.0,"Kansas City, Mo.",1976,1980,"Carrollton, Tex.",1980.0,1987,"Carrollton, Tex.",1987,2004,(Texas state house of representatives),2005,2021,(Congress),,,,,,,,,,,,,,,,,,,,,,48147,,40109,,29095,,48113,,48113,,,Not a location,,Not a location,,,,,,,,,,,,,,
