icpsr,bioguide_id
99869,
379,B000084
4854,J000017
6071,M000234
1538,C000187
2010,C000710
3430,G000012
8363,S000242
8693,S000624
8983,S000961
154,A000174
3541,G000139
3674,G000286
3857,G000500
5611,L000246
7224,P000092
8344,S000222
9268,T000141
3299,F000297
3610,G000215
5713,L000364
878,B000661
1387,C000012
8278,S000150
8544,S000448
649,B000388
3237,F000224
4193,H000348
5498,L000120
8511,S000412
9629,V000053
259,A000307
800,B000563
8374,S000257
8869,S000832
10193,W000551
1859,C000538
3196,F000178
4156,H000299
4390,H000570
6781,M001063
6784,M001066
8312,S000186
10405,W000783
884,B000669
1260,B001086
4695,H000916
8702,S000633
9088,S001073
9501,T000403
786,B000546
1118,B000929
1936,C000624
3582,G000183
3825,G000466
5564,L000200
5903,M000043
6625,M000891
7156,P000018
7199,P000065
10006,W000352
2936,E000147
4998,J000182
507,B000226
7762,R000091
3128,F000100
3877,G000526
1536,C000185
4333,H000508
2307,D000013
9028,S001009
5449,L000067
10272,W000633
2576,D000324
2943,E000155
7231,P000102
5270,K000212
8282,S000154
4212,H000368
5012,J000198
5891,M000031
6712,M000985
3315,F000313
8845,S000805
1346,B001186
4837,I000053
3771,G000403
5565,L000201
6594,M000858
9747,W000059
4433,H000618
5543,L000178
9062,S001047
9489,T000389
9706,W000013
9676,V000104
6472,M000712
9885,W000216
10202,W000560
3798,G000434
7084,O000101
4441,H000629
5224,K000158
6418,M000645
6830,M001119
7463,P000362
8449,S000340
8896,S000866
886,B000671
9808,W000127
8644,S000563
1750,C000418
2440,D000165
5303,K000246
3695,G000311
8272,S000140
9463,T000361
3859,G000502
5895,M000034
3147,F000124
3805,G000442
4871,J000036
5310,K000253
456,B000167
6932,N000109
8639,S000557
9658,V000083
8457,S000349
2866,E000075
7564,P000473
1384,C000009
8150,R000550
1302,B001133
956,B000745
7989,R000350
9215,T000086
1914,C000600
9127,S001119
9452,T000348
5494,L000115
7235,P000108
1518,C000163
1716,C000382
2512,D000254
2796,D000578
2859,E000060
3285,F000282
8678,S000609
8811,S000753
1865,C000545
1906,C000591
2451,D000178
2550,D000296
3303,F000301
4546,H000750
5852,L000530
9707,W000014
8448,S000339
554,B000282
351,B000049
3573,G000173
3628,G000235
9161,T000019
9591,V000012
9602,V000022
9615,V000039
9881,W000211
805,B000569
2432,D000157
3594,G000196
5734,L000389
6230,M000424
6401,M000622
10136,W000491
10280,W000642
231,A000280
4820,I000035
6608,M000873
8596,S000508
5935,M000076
656,B000396
3607,G000211
4090,H000225
4753,H000982
7425,P000320
10275,W000637
1739,C000406
4026,H000148
4127,H000266
4269,H000431
6883,N000055
6886,N000058
6911,N000084
7603,P000514
8148,R000548
9739,W000051
6574,M000828
3361,F000368
6012,M000166
3437,G000020
8070,R000448
951,B000739
9238,T000107
2316,D000024
2355,D000073
3678,G000293
3846,G000488
8671,S000595
2125,C000848
2139,C000863
8810,S000752
947,B000735
3358,F000365
5850,L000528
7788,R000120
8376,S000259
8563,S000471
9650,V000074
4315,H000488
8637,S000555
9353,T000232
2058,C000764
4204,H000359
5715,L000366
10159,W000513
1176,B000991
1255,B001081
3342,F000344
4519,H000718
9048,S001029
9187,T000050
429,B000137
2881,E000089
5890,M000029
7870,R000215
8555,S000460
9107,S001095
9308,T000183
7553,P000463
2816,E000010
4019,H000140
4843,J000005
1195,B001014
1007,B000802
1380,C000005
1853,C000531
4850,J000012
9189,T000052
9796,W000114
6000,M000155
4628,H000841
8964,S000941
719,B000474
7763,R000092
806,B000570
1888,C000572
7164,P000026
9378,T000264
6063,M000226
99870,
112,A000129
943,B000731
2852,E000052
524,B000249
2413,D000138
3324,F000322
332,B000026
2501,D000243
6087,M000256
484,B000198
1232,B001053
7108,O000127
7192,P000058
8440,S000330
3357,F000364
3701,G000318
8802,S000743
4800,I000011
1072,B000875
1881,C000563
2941,E000153
4593,H000803
6229,M000423
8756,S000693
8837,S000794
10176,W000534
1132,B000942
1655,C000313
4037,H000161
4394,H000574
6155,M000336
9779,W000094
1633,C000289
9385,T000273
7458,P000357
8153,R000553
8695,S000625
1741,C000408
5867,L000545
6710,M000983
1815,C000487
2426,D000151
2883,E000091
3021,E000257
4532,H000735
5064,J000254
5879,M000013
6674,M000946
9468,T000368
9470,T000370
1823,C000497
9947,W000287
5725,L000377
2351,D000069
4469,H000661
6963,N000142
9874,W000202
3791,G000427
7455,P000354
174,A000197
8608,S000524
1706,C000369
2357,D000075
3679,G000294
8651,S000570
5038,J000227
9165,T000025
6925,N000100
9299,T000173
733,B000488
5568,L000204
5668,L000316
6089,M000259
7764,R000093
10169,W000526
8423,S000312
9257,T000127
1974,C000671
5687,L000336
722,B000477
7481,P000381
8647,S000566
9328,T000206
148,A000167
2581,D000331
4303,H000475
4426,H000611
8977,S000955
5594,L000229
8938,S000912
10352,W000722
1116,B000927
4694,H000915
6979,N000161
3668,G000279
3763,G000394
5559,L000195
6003,M000157
7159,P000021
7573,P000482
7723,R000047
9239,T000108
6058,M000221
7029,O000041
233,A000282
6703,M000976
6913,N000086
99871,
3639,G000248
7344,P000231
9169,T000029
2819,E000014
6422,M000649
222,A000272
911,B000697
1455,C000091
7478,P000378
325,B000017
2287,C001026
2294,C001033
3001,E000230
4181,H000331
8662,S000582
9271,T000143
4748,H000976
7308,P000190
9567,U000022
2942,E000154
4293,H000464
6760,M001039
8748,S000685
6577,M000831
6715,M000988
9290,T000163
9625,V000049
9630,V000054
9735,W000046
4946,J000123
8842,S000800
10407,W000786
877,B000660
4298,H000470
4502,H000699
5066,J000258
9621,V000045
1354,B001194
5814,L000482
6653,M000919
2583,D000333
6905,N000078
8646,S000564
9014,S000994
9167,T000027
9335,T000213
10043,W000392
994,B000787
10396,W000768
7048,O000060
7493,P000393
1847,C000525
5744,L000401
2903,E000114
1939,C000627
392,B000097
8013,R000377
1174,B000989
4012,H000133
571,B000301
941,B000729
8203,S000041
9798,W000116
6198,M000387
6643,M000909
6871,N000041
1156,B000970
2214,C000947
2801,D000583
5477,L000097
6571,M000824
8338,S000215
8865,S000828
9154,T000012
679,B000425
1732,C000399
4600,H000811
927,B000714
8581,S000493
1849,C000526
3840,G000482
4169,H000314
5716,L000367
6172,M000359
7173,P000036
7230,P000101
7403,P000298
7907,R000257
8056,R000431
8187,S000023
8206,S000046
9376,T000262
9662,V000088
88,A000100
754,B000511
5186,K000116
7658,P000577
10171,W000529
6728,M001003
169,A000191
1814,C000486
2005,C000704
4498,H000695
5822,L000492
7760,R000089
7867,R000212
10054,W000403
5338,K000286
1575,C000226
2814,E000008
1448,C000083
7838,R000181
1625,C000280
1708,C000372
2911,E000122
7055,O000067
1756,C000424
2977,E000197
3691,G000306
3826,G000467
4858,J000021
5645,L000290
5649,L000294
7727,R000051
8894,S000864
10210,W000568
34,A000041
7428,P000324
8645,S000567
10379,W000750
4656,H000870
7559,P000468
3423,G000005
2800,D000582
6746,M001023
7469,P000368
9063,S001048
1085,B000888
686,B000434
6393,M000614
8595,S000507
8761,S000698
2099,C000817
3652,G000261
5724,L000376
5917,M000057
436,B000144
697,B000446
1635,C000291
2021,C000723
2956,E000168
3779,G000413
6866,N000036
7675,Q000015
2919,E000130
9341,T000220
2332,D000047
5421,L000036
773,B000533
3972,H000090
6069,M000232
6794,M001076
8131,R000529
8175,S000015
8277,S000149
9451,T000347
10086,W000440
10173,W000531
80,A000092
5163,K000089
6241,M000437
3992,H000111
5151,K000073
5812,L000478
7537,P000443
7645,P000562
8679,S000610
10055,W000404
2813,E000007
5981,M000130
8673,S000598
10140,W000495
3173,F000154
505,B000224
1323,B001160
1736,C000403
3483,G000075
6729,M001005
20,A000026
1810,C000482
9366,T000249
7792,R000125
9517,T000423
3104,F000074
1632,C000288
9613,V000037
1868,C000547
9482,T000382
2527,D000271
4622,H000834
4988,J000170
8087,R000471
5225,K000159
6603,M000867
9619,V000043
323,B000015
2446,D000173
4798,I000009
5712,L000363
8999,S000978
9568,U000023
1505,C000148
2786,D000565
3465,G000052
8643,S000562
8993,S000972
6892,N000064
3460,G000049
4106,H000245
4731,H000957
5296,K000239
9108,S001096
9590,V000011
10246,W000606
2242,C000976
3344,F000346
8237,S000089
4393,H000573
4916,J000087
6539,M000786
6601,M000864
7873,R000218
8243,S000098
4862,J000025
10099,W000454
146,A000165
1419,C000045
9216,T000085
9979,W000324
8421,S000310
10293,W000657
3552,G000150
5792,L000456
2165,C000895
5031,J000220
7525,P000431
5726,L000378
7200,P000067
6408,M000633
9380,T000268
6076,M000240
7985,R000346
99872,M000043
4767,H000996
478,B000192
2179,C000910
6290,M000496
1117,B000928
6306,M000515
7910,R000263
119,A000136
531,B000256
703,B000453
3452,G000039
3467,G000054
7432,P000330
9510,T000416
9983,W000329
10069,W000421
771,B000530
1624,C000279
3927,H000039
4199,H000354
10228,W000592
2114,C000834
4693,H000914
8324,S000200
2961,E000176
3174,F000155
3648,G000257
5334,K000282
5719,L000370
6075,M000239
6923,N000098
7539,P000446
8173,S000012
1880,C000564
6128,M000302
7288,P000168
184,A000235
2164,C000894
4391,H000571
5846,L000524
8071,R000449
8381,S000264
8620,S000537
1688,C000350
10297,W000661
6504,M000750
9889,W000220
4670,H000886
992,B000785
3476,G000066
6311,M000520
7935,R000291
8428,S000317
9132,S001125
4586,H000795
9157,T000015
2292,C001031
3539,G000136
1442,C000076
3847,G000489
10061,W000411
5503,L000126
7897,R000245
450,B000161
3933,H000045
7083,O000100
7966,R000326
223,A000273
5194,K000125
5704,L000354
9055,S001036
1036,B000833
1527,C000175
7797,R000130
7885,R000231
9173,T000033
10038,W000385
10090,W000444
491,B000207
2607,D000357
3950,H000064
4088,H000223
9067,S001052
1972,C000668
6095,M000267
6679,M000951
299,A000345
793,B000555
2031,C000734
3175,F000156
3856,G000498
6440,M000668
7269,P000146
7520,P000425
9005,S000984
9603,V000023
5275,K000217
7427,P000322
2409,D000133
4789,H001026
5392,L000011
5577,L000212
6538,M000785
7464,P000363
7953,R000313
8011,R000375
1418,C000044
5815,L000483
3865,G000509
9040,S001022
367,B000067
4206,H000361
4740,H000967
6189,M000377
6865,N000035
7486,P000386
10253,W000615
685,B000433
1111,B000921
5916,M000056
7543,P000450
4651,H000865
4762,H000991
2056,C000762
2284,C001023
3287,F000284
9245,T000115
1768,C000436
2795,D000577
4216,H000372
4571,H000778
6607,M000872
8407,S000295
4044,H000176
945,B000733
2315,D000023
2410,D000134
2542,D000293
4671,H000887
4712,H000935
5256,K000197
7194,P000060
7789,R000121
8110,R000503
9809,W000128
10238,W000598
10317,W000687
1727,C000394
8680,S000608
9689,V000120
9903,W000238
10101,W000456
714,B000467
2122,C000843
9821,W000141
905,B000691
928,B000715
1969,C000664
2510,D000252
3523,G000116
4168,H000313
4573,H000780
4653,H000867
4823,I000038
5195,K000126
5581,L000213
5801,L000466
5983,M000132
6501,M000747
6582,M000840
6994,O000003
7546,P000455
8464,S000356
8473,S000366
8707,S000638
9222,T000091
9327,T000205
10150,W000505
10282,W000644
3282,F000279
3504,G000096
6802,M001084
10409,Y000001
84,A000096
547,B000273
1407,C000033
1835,C000510
2172,C000902
5234,K000169
6337,M000549
1971,C000667
2201,C000934
3624,G000231
3632,G000241
3820,G000461
4314,H000487
4811,I000022
4827,I000042
8571,S000483
8638,S000556
9175,T000036
9550,U000003
10053,W000402
10254,W000616
94804,I000015
1662,C000320
3006,E000238
3074,F000036
3726,G000345
5216,K000149
898,B000684
1485,C000123
4115,H000254
4736,H000962
959,B000748
1337,B001176
7862,R000207
8561,S000469
424,B000131
535,B000260
1492,C000131
4964,J000142
5205,K000136
10020,W000367
2296,D000002
1230,B001051
792,B000554
9159,T000017
9741,W000053
3377,F000389
3655,G000264
3705,G000322
6054,M000217
5210,K000141
1665,C000325
420,B000127
1825,C000499
2026,C000728
5837,L000512
10105,W000460
4320,H000494
3220,F000204
4052,H000184
6332,M000544
9190,T000054
4350,H000525
7363,P000250
24,A000030
1099,B000904
1528,C000176
1994,C000692
6528,M000774
7212,P000079
7860,R000204
8859,S000821
9036,S001017
279,A000324
362,B000060
509,B000228
630,B000368
32,A000038
47,A000056
681,B000427
727,B000482
729,B000484
1080,B000883
1389,C000014
1787,C000456
2183,C000914
4006,H000127
8231,S000082
8256,S000115
9364,T000247
9437,T000333
9817,W000136
9951,W000293
10117,W000472
10207,W000565
10417,Y000009
1175,B000990
1770,C000438
2559,D000306
2876,E000083
3281,F000278
4556,H000761
5795,L000460
10170,W000527
4138,H000279
1301,B001132
2343,D000059
3906,H000018
4577,H000784
5892,M000030
5894,M000033
8365,S000246
8686,S000617
9764,W000078
10062,W000412
10257,W000618
10354,W000725
870,B000650
6052,M000215
6115,M000288
6462,M000699
6509,M000755
9217,T000084
10363,W000733
807,B000571
4304,H000476
7575,P000484
7831,R000173
9295,T000169
1703,C000366
4934,J000107
5448,L000066
5861,L000539
5993,M000146
6981,N000164
6874,N000043
7937,R000293
8602,S000516
9185,T000047
9497,T000398
9542,T000450
6941,N000118
9233,T000102
4054,H000186
271,A000317
10235,W000595
8211,S000052
8971,S000949
8107,R000500
8694,S000628
10160,W000516
6050,M000213
99873,M000858
3578,G000178
4540,H000743
8465,S000357
9263,T000135
10183,W000541
3958,H000076
6323,M000535
5,A000003
1873,C000553
2161,C000891
7813,R000151
9261,T000132
6338,M000550
179,A000230
7667,Q000005
7962,R000322
8772,S000710
9472,T000372
9737,W000048
1350,B001190
533,B000258
2233,C000967
128,A000146
3252,F000242
3400,F000413
3421,G000003
4536,H000739
5667,L000314
6743,M001019
7085,O000102
8190,S000026
8418,S000307
8510,S000411
7501,P000402
1342,B001181
3926,H000038
5711,L000362
7216,P000084
9569,U000024
803,B000566
5284,K000227
5688,L000337
2221,C000954
2280,C001019
2716,D000485
2907,E000118
4353,H000529
4674,H000890
5300,K000243
5524,L000147
7031,O000043
7178,P000041
7536,P000442
8281,S000153
8327,S000203
8787,S000727
8997,S000976
9171,T000031
9414,T000303
9967,W000309
2369,D000087
3164,F000144
3956,H000072
6793,M001075
7131,O000151
8370,S000254
8585,S000497
8642,S000559
8935,S000909
9738,W000050
417,B000124
576,B000306
1460,C000095
4366,H000542
4456,H000647
382,B000087
816,B000583
2341,D000057
4596,H000806
5976,M000124
6647,M000913
6650,M000916
6821,M001109
7033,O000045
7253,P000128
7270,P000147
8034,R000403
8763,S000700
9180,T000042
616,B000350
2985,E000209
6879,N000049
8513,S000414
9500,T000402
1740,C000407
4508,H000705
5029,J000218
5990,M000142
107,A000122
2128,C000851
4761,H000990
6430,M000657
7872,R000217
294,A000340
398,B000103
1956,C000650
3234,F000221
3485,G000077
5651,L000297
6415,M000642
7307,P000189
7459,P000358
8715,S000646
9042,S001023
2871,E000078
9297,T000171
2181,C000912
4959,J000137
6410,M000636
5542,L000177
10182,W000540
6693,M000966
2561,D000308
1305,B001137
2828,E000024
7182,P000045
2208,C000942
2865,E000070
3260,F000247
7399,P000294
8122,R000519
8912,S000882
9411,T000300
2285,C001024
2015,C000716
1136,B000947
4951,J000129
6446,M000676
6852,N000018
9829,W000150
2281,C001020
2318,D000026
2709,D000477
3707,G000324
4419,H000602
4467,H000659
5167,K000093
5287,K000230
5491,L000112
7729,R000054
1221,B001042
7494,P000394
8603,S000518
122,A000140
358,B000056
1571,C000222
1780,C000449
2548,D000287
2574,D000322
3086,F000052
3274,F000269
3852,G000494
3886,G000539
3896,H000006
3938,H000051
5849,L000527
6407,M000632
6591,M000853
7301,P000183
7468,P000367
7888,R000235
9022,S001002
9029,S001010
9447,T000343
9631,V000055
10333,W000703
755,B000512
1319,B001152
1168,B000983
8078,R000456
8582,S000494
2498,D000238
2873,E000080
3284,F000281
3403,F000416
3854,G000496
4381,H000558
6207,M000396
7421,P000316
2841,E000040
4253,H000415
1013,B000808
6195,M000383
7122,O000142
124,A000142
1171,B000986
1887,C000571
5937,M000079
6403,M000625
87,A000099
225,A000275
3767,G000398
4848,J000010
5039,J000228
6654,M000920
7205,P000072
9496,T000397
9635,V000059
10155,W000510
9749,W000061
5465,L000083
2913,E000124
9740,W000052
5748,L000405
8752,S000689
9477,T000377
5817,L000485
5339,K000287
6632,M000898
418,B000125
1308,B001140
8898,S000868
8966,S000943
8014,R000378
3611,G000216
9188,T000051
9343,T000222
4926,J000097
993,B000786
4973,J000154
8656,S000575
10358,W000729
5008,J000194
4109,H000248
4362,H000538
10196,W000554
2079,C000792
6307,M000516
6867,N000037
481,B000195
530,B000255
705,B000455
2797,D000579
8133,R000531
8302,S000176
4164,H000309
6080,M000247
9999,W000345
1583,C000234
4513,H000711
6078,M000245
9101,S001088
864,B000641
1431,C000061
1464,C000099
1918,C000604
1982,C000679
3521,G000114
4211,H000366
5292,K000235
5696,L000346
6140,M000321
6681,M000953
7256,P000131
7444,P000342
7998,R000360
8108,R000501
8782,S000722
8901,S000871
9632,V000056
9644,V000068
9800,W000118
10342,W000712
2002,C000700
2220,C000953
5760,L000421
6370,M000586
8228,S000078
1626,C000281
9597,V000017
1119,B000926
1186,B001005
3070,F000032
3144,F000120
3293,F000291
6384,M000602
6563,M000816
6825,M001115
7414,P000310
7492,P000392
8927,S000899
9402,T000290
10374,W000745
2788,D000568
767,B000526
1547,C000197
3620,G000227
3727,G000346
3991,H000110
6232,M000426
6575,M000829
7503,P000404
10237,W000597
5226,K000160
6088,M000258
10042,W000389
5584,L000216
8601,S000515
8696,S000626
8919,S000891
5155,K000079
810,B000577
9827,W000148
495,B000212
658,B000398
9595,V000009
1107,B000914
3146,F000122
2549,D000295
8385,S000268
6289,M000495
7130,O000150
10070,W000422
1561,C000212
1423,C000049
7626,P000540
9266,T000138
1213,B001033
4342,H000517
5622,L000257
6655,M000921
9333,T000211
10016,W000363
10088,W000442
1008,B000803
3880,G000529
1280,B001109
5228,K000163
5768,L000430
7001,O000013
4249,H000410
5560,L000196
6558,M000810
8779,S000719
344,B000041
2213,C000946
5733,L000388
8499,S000397
489,B000205
3491,G000083
35,A000042
1390,C000015
1779,C000447
1945,C000635
2133,C000856
2434,D000159
2802,D000584
2829,E000025
3257,F000249
3379,F000391
4229,H000387
4503,H000700
4914,J000085
5515,L000138
6044,M000204
6046,M000208
7871,R000216
8062,R000439
8409,S000297
9254,T000125
9545,T000453
10226,W000586
10357,W000727
3507,G000099
5952,M000096
7119,O000139
8757,S000694
9598,V000018
493,B000210
3516,G000109
6125,M000299
6340,M000552
7247,P000122
9679,V000107
10078,W000431
10258,W000619
10392,W000764
138,A000157
990,B000783
2926,E000137
4111,H000250
5367,K000329
5985,M000135
6286,M000492
6479,M000722
9348,T000227
9886,W000217
10224,W000584
10230,W000588
10306,W000673
1463,C000098
77,A000089
769,B000528
4615,H000827
4830,I000045
8202,S000040
8832,S000789
1196,B001015
7056,O000068
421,B000128
4974,J000155
7929,R000285
881,B000664
611,B000345
6274,M000475
972,B000763
4237,H000398
99874,A000041
385,B000090
4809,I000020
6438,M000665
4238,H000399
6424,M000651
852,B000628
4335,H000509
4965,J000143
5551,L000186
6268,M000467
10458,Y000057
171,A000193
7913,R000266
8803,S000744
451,B000162
2674,D000437
5209,K000139
6038,M000198
9915,W000250
10380,W000751
2394,D000117
3026,E000264
9649,V000073
3910,H000022
1134,B000945
2825,E000021
4163,H000308
4263,H000425
9495,T000396
206,A000256
265,A000313
331,B000023
2592,D000342
3294,F000292
3486,G000078
3964,H000082
4167,H000312
4492,H000688
4709,H000932
4726,H000950
4971,J000152
5141,K000063
5982,M000131
6348,M000562
6490,M000737
7541,P000448
8069,R000447
9663,V000089
9806,W000125
10010,W000356
10071,W000423
467,B000181
1173,B000988
1543,C000193
4446,H000634
4534,H000737
3143,F000119
4924,J000095
8402,S000289
9351,T000230
10355,W000724
45,A000053
3292,F000290
5311,K000254
5365,K000324
5514,L000137
6544,M000791
6564,M000817
7088,O000105
8509,S000410
8920,S000892
9620,V000044
10402,W000774
1256,B001082
7281,P000160
2721,D000490
5973,M000120
6562,M000815
7507,P000409
9732,W000042
236,A000284
1738,C000405
2223,C000956
2361,D000079
2995,E000223
7569,P000478
9228,T000097
9466,T000365
1629,C000284
6310,M000519
10127,W000482
669,B000413
5093,K000006
1627,C000282
2925,E000136
7796,R000129
10341,W000711
5986,M000137
7940,R000297
4091,H000226
10029,W000376
7475,P000375
4937,J000112
3233,F000220
3291,F000289
2760,D000535
775,B000534
8674,S000599
1417,C000043
1630,C000285
