id,bio
S000250,"a Representative from Texas; born in Waco, McLennan County, Tex., March 22, 1955; graduated from Churchill High School, San Antonio, Tex., 1973; B.S., Southwestern University, Georgetown, Tex., 1978; business executive; professional advocate; elected as a Republican to the One Hundred Fifth and to the ten succeeding Congresses (January 3, 1997-January 3, 2019); unsuccessful candidate for reelection to the One Hundred Sixteenth Congress in 2018; chair, Committee on Rules (One Hundred Thirteenth through One Hundred Fifteenth Congresses); elected as a Republican to the One Hundred Seventeenth and to the succeeding Congress (January 3, 2021-present)."
H001040,"A Representative from Illinois; born in Galesburg, Knox County, Ill., February 21, 1949; graduated from Alleman High School, Rock Island, Ill., 1967; attended Black Hawk Community College, Moline, Ill., 1967-1968; United States Army Reserve, 1969-1975; factory worker, 1969-1982; staff, United States Representative Lane Evans of Illinois, 1983-2006; elected as a Democrat to the One Hundred Tenth and to the succeeding Congress (January 3, 2007-January 3, 2011); unsuccessful candidate for reelection to the One Hundred Twelfth Congress in 2010."
C001056,"A Senator from Texas; born in Houston, Texas, on February 2, 1952; B.A., Trinity University 1973; J.D., St. Mary's School of Law 1977; LLM, University of Virginia 1995; attorney; Bexar County district court judge 1984-1990; Texas supreme court 1990-1997; Texas state attorney general 1999-2002; elected as a Republican to the U.S. Senate in 2002; subsequently appointed to the remainder of the term left vacant by the resignation of William Philip Gramm, and took the oath of office on December 2, 2002; reelected in 2008, 2014, and again in 2020 for the term ending January 3, 2027; Republican Conference vice-chair (2007-2009); chair, National Republican Senatorial Committee (2009-2012); Republican party whip (2013-2018)."
G000576,"A Representative from Wisconsin; born in Milwaukee, Milwaukee County, Wis., July 3, 1955; graduated from Homestead High School, Mequon, Wisconsin, 1973; B.B.A., University of Wisconsin, Madison, Wis., 1978; J.D., University of Wisconsin, Madison, Wis., 1983; lawyer, private practice; member of the Wisconsin state assembly, 1993-2004; member of the Wisconsin state senate, 2004-2014; elected as a Republican to the One Hundred Fourteenth and to the four succeeding Congresses (January 3, 2015-present)."
F000246,"a Representative from Texas; born in Pittsfield, Berkshire County, Mass., December 19, 1967; graduated from Pittsfield High School, Pittsfield, Mass., 1986; attended the University of Massachusetts, Amherst, Mass.; B.A., University of Notre Dame, Notre Dame, Ind., 1990; United States Air Force, 1990-1994; entrepreneur; business executive; member of the Frisco, Tex., city council, 2009-2012, mayor pro tem, 2011-2012; Member of the Texas state house of representatives, 2013-2019; member of the Texas state senate, 2019-2021; Delegate, Republican National Convention, 2016; elected as a Republican to the One Hundred Seventeenth and to the succeeding Congress (January 3, 2021-present)."
C000846,"A Representative from Pennsylvania; born in Pittsburgh, Allegheny County, Pa., August 24, 1936; graduated from Central Catholic High School, Pittsburgh, Pa., 1954; B.S., Robert Morris College, Pittsburgh, Pa., 1965; United States Army, 1955-1957; accountant; member of the Pennsylvania state legislature, 1970-1972; member of the Pittsburgh, Pa., city council, 1974-1980; elected as a Democrat to the Ninety-seventh and to the ten succeeding Congresses (January 3, 1981-January 3, 2003); not a candidate for reelection to the One Hundred Eighth Congress in 2002; died on November 3, 2013, in Pittsburgh, Pa.; interment at Calvary Cemetery, Pittsburgh, Pa."
H001063,"A Representative from California; born in Los Angeles, Los Angeles County, Calif., March 30, 1952; graduated from Lutheran High School, Los Angeles, Calif., 1970; B.S., Abilene Christian University, Abilene, Tex., 1974; teacher; businesswoman; unsuccessful candidate for election to the Los Angeles, Calif., city council in 1993; member of the Los Angeles, Calif., city charter reform commission, 1997-1999; unsuccessful candidate for election to the One Hundred Sixth Congress in 1998; member of the Los Angeles, Calif., city council, 2001-2011; unsuccessful candidate for election for lieutenant governor of California in 2010; elected as a Democrat to the One Hundred Twelfth Congress, by special election, to fill the vacancy caused by the resignation of United States Representative Jane Harman, reelected to the two succeeding Congresses, and served until her resignation on December 4, 2016 (July 12, 2011-December 4, 2016); was not a candidate for reelection to the One Hundred Fifteenth Congress in 2016; member of the Los Angeles, Calif., county board of supervisors, 2016-present."
F000328,"A Representative from Florida; born in Atlanta, Ga., December 23, 1942; A.B., Emory University, 1964; J.D., Emory University School of Law, 1967; admitted to the bar in 1967; legislative assistant to Representative Robert G. Stephens, Jr., 1967-1970; deputy general counsel and general counsel, Office of Consumer Affairs, The White House, 1970-1971; president, Junior League of Jacksonville, 1982-1983; member, Jacksonville City Council, 1985-1992, president, 1989-1990; chairman, Florida Endowment for the Humanities, 1989-1991; elected as a Republican to the One Hundred Third and to the three succeeding Congresses (January 3, 1993-January 3, 2001); was not a candidate for reelection to the One Hundred Seventh Congress; appointed by Secretary of Defense Donald Rumsfeld to the Independent Panel to Review Department of Defense Detention Operations, 2004; died on March 2, 2005, in Jacksonville, Fla."
B001243,"A Senator and a Representative from Tennessee; born in Laurel, Jones County, Miss., June 6, 1952; graduated from Northeast Jones High School, Laurel, Miss.; B.S. Mississippi State University, Starkville, Miss., 1973; business owner; private advocate; unsuccessful candidate for election to the One Hundred Third Congress in 1992; member of the Tennessee state senate, 1998-2002; elected as a Republican to the One Hundred Eighth and to the seven succeeding Congresses (January 3, 2003-January 3, 2019); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2018 for the term ending January 3, 2025."
C001113,"A Senator from Nevada; born in Las Vegas, Nev., March 29, 1964; B.A., University of Nevada, 1986; J.D., Gonzaga University School of Law, 1990; admitted to the Nevada bar in 1990; assistant county manager, Clark County, Nev.; chief of staff to Nevada governor Bob Miller; federal prosecutor; attorney general of Nevada 2007-2015; executive vice chancellor for the Nevada System of Higher Education; elected as a Democrat to the United States Senate in 2016; reelected in 2022 for the term ending January 3, 2029; chair, Democratic Senatorial Campaign Committee (2019-2021)."
M001182,"A Representative from South Carolina; born in Alexandria, Va., July 21, 1967; graduated from Charlotte Catholic High School, Charlotte, N.C., 1985; B.S.F.S., Georgetown University, Washington, D.C., 1989; J.D., University of North Carolina, Chapel Hill, N.C., 1992; lawyer, private practice; real estate developer; member of the South Carolina state house of representatives, 2007-2009; member of the South Carolina state senate, 2009-2010; elected as a Republican to the One Hundred Twelfth and to the three succeeding Congresses until his resignation on February 16, 2017 (January 3, 2011-February 16, 2017); Director of Office of Management and Budget under President Donald J. Trump, 2017-2019; Acting White House Chief of Staff, 2019-2020; U.S. Special Envoy for Northern Ireland, 2020-2021."
R000601,"A Representative from Texas; born in Chicago, Cook County, Ill., October 20, 1965; B.A., University of Notre Dame, Notre Dame, Ind., 1987; J.D., Southern Methodist University, Dallas, Tex., 1989; lawyer, private practice; professor; United States attorney for the Eastern District of Texas, 2007-2008; mayor of Heath, Tex., 2004-2012; elected as a Republican to the One Hundred Fourteenth and to the two succeeding Congresses until his resignation on May 22, 2020 (January 3, 2015-May 22, 2020); Director of National Intelligence in the Cabinet of President Donald Trump, 2020-2021."
M000019,"(Father of Connie Mack IV, father-in-law of Mary Bono Mack, step-grandson of Tom Connally, grandson of Morris Sheppard, and great-grandson of John Levi Sheppard), a Representative and a Senator from Florida; born Cornelius McGillicuddy, III, in Philadelphia, Pa., October 29, 1940; attended St. Francis Xavier School, Fort Myers, Fla.; graduated, Fort Myers High School 1958; B.A., University of Florida, Gainesville 1966; banker 1966-1982; elected as a Republican to the Ninety-eighth and to the two succeeding Congresses (January 3, 1983-January 3, 1989); elected to the United States Senate in 1988; reelected in 1994 and served from January 3, 1989, to January 3, 2001; was not a candidate for reelection in 2000; chairman, Joint Economic Committee (One Hundred Fourth Congress); Republican Conference chairman 1997-2001; board member, H. Lee Moffitt Cancer Center and Research Institute, Tampa, Fla., 2001-."
F000453,"A Representative from Oklahoma; born in Warrensburg, Johnson County, Mo., December 9, 1954; attended Oklahoma Baptist University, Shawnee, Okla., 1973-1975; B.S., Oklahoma State University, Stillwater, Okla., 1977; attended, University of Central Oklahoma, Edmond, Okla., 1979-1981; member of the Oklahoma state house of representatives, 1990-1994; Oklahoma lieutenant governor, 1995-2007; elected as a Republican to the One Hundred Tenth and to the succeeding Congress (January 3, 2007-January 3, 2011); not a candidate for reelection to the One Hundred Twelfth Congress in 2010; Governor of Oklahoma, 2011-2019."
M001149,"A Representative from Maine; born in Millinocket, Penobscot County, Maine, January 18, 1955; graduated from Schenck High School, East Millinocket, Maine, 1973; mill worker; member of the Maine state house of representatives, 1980-1994; member of the Maine state senate, 1994-2002, president, 2001, president pro tempore, 2002; elected as a Democrat to the One Hundred Eighth and to the five succeeding Congresses (January 3, 2003-January 3, 2015); was not a candidate for renomination to the One Hundred Fourteenth Congress in 2014, but was an unsuccessful candidate for Governor of Maine."
P000149,"a Representative from New Jersey; born in Newark, Essex County, N.J., July 16, 1934; graduated from Barringer High School, Newark, N.J., 1952; B.A., Seton Hall University, South Orange, N.J., 1957; teacher; insurance executive; president, Young Men's Christian Association of the United States (YMCA), 1970-1973; member, Essex County, N.J., board of chosen freeholders, 1972-1978; unsuccessful candidate for nomination to the Ninety-seventh Congress in 1980; member of the Newark, N.J., Municipal Council, 1982-1988; chairman, Essex county Democratic committee, 2003-2004; unsuccessful candidate for nomination to the One Hundredth Congress in 1986; elected as a Democrat to the One Hundred First and to the eleven succeeding Congresses (January 3, 1989-March 6, 2012); died on March 6, 2012, in Livingston, N.J.; interment at Glendale Cemetery, Bloomfield, N.J."
H000729,"A Representative from Louisiana; born in Lecompte, Rapides Parish, La., November 28, 1943; graduated from Forest Hill High School, Forest Hill, La., 1961; attended the National Aeronautics School, Kansas City, Kans.; businessman; business owner; chairman of the board, Forest Hill Neighborhood School; elected as a Republican to the One Hundredth and to the two succeeding Congresses (January 3, 1987-January 3, 1993); unsuccessful candidate for reelection to the One Hundred Third Congress in 1992; unsuccessful candidate for Governor of Louisiana in 1991; unsuccessful candidate for election to the United States House of Representatives in 1994, 1996, 2002, and 2014; unsuccessful candidate for lieutenant governor of Louisiana in 2003; Louisiana state director, Office of Rural Development, United States Department of Agriculture, 2006-2009; member of the Louisiana public service commission, 2009-2016; died on October 16, 2016, in Forest Hill, La."
W000799,"A Representative from Minnesota; born in West Point, Cuming County, Nebr., April 6, 1964; graduated from Butte High School, Butte, Nebr.; B.S., Chadron State College, Chadron, Nebr., 1989; M.S., Minnesota State University, 2001; attended Saint Mary’s University of Minnesota, Winona, Minn.; Nebraska National Guard, 1981-1996; Minnesota National Guard, 1996-2005; teacher; elected as a Democrat to the One Hundred Tenth and to the five succeeding Congresses (January 3, 2007-January 3, 2019); was not a candidate for reelection to the One Hundred Sixteenth Congress in 2018; Governor of Minnesota, 2019-present."
B001236,"A Senator and a Representative from Arkansas; born in Shreveport, La., December 10, 1950; graduated from Northside High School, Fort Smith, Ark.; attended the University of Arkansas, Fayetteville, Ark., 1969-1972; graduated Southern College of Optometry, 1977; optometrist; business owner; rancher; member of the Rogers, Ark., school board; elected as a Republican to the One Hundred Seventh Congress by special election to fill the vacancy caused by the resignation of United States Representative Asa Hutchinson; reelected to the four succeeding Congresses (November 20, 2001-January 3, 2011); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2010; reelected in 2016, and again in 2022 for the term ending January 3, 2029."
