start_1,end_1,location_1,start_2,end_2,location_2,start_3,end_3,location_3,start_4,end_4,location_4,start_5,end_5,location_5,start_6,end_6,location_6,start_7,end_7,location_7,start_8,end_8,location_8,start_9,end_9,location_9,start_10,end_10,location_10,start_11,end_11,location_11,start_12,end_12,location_12,start_13,end_13,location_13,start_14,end_14,location_14,start_15,end_15,location_15
1959,1977,"Oak Park, Cook County, Ill.",1977,1981,"Cambridge, Mass.",1981,1985,"New Haven, Conn.",1985,2021,Private practice and professor,2005,2008,"Cheshire, Conn.",2008,2010,Connecticut state general assembly,2013,2019,U.S. Congress,2019,2021,Unknown,,,,,,,,,,,,,,,,,,,,,
1982,2000,"Boston, Suffolk County, Mass.",2000,2002,"Deep Springs, Calif.",2002,2004,"Chicago, Ill.",2004,2010,"Oxford, England",2010,2016,(working for US government),2016,2019,(unknown),2019,present,(elected to Congress),,,,,,,,,,,,,,,,,,,,,,,,
1961,1979,"New Hartford, Oneida County, N.Y.",1979,1983,"Hamilton Township, N.Y.",1983,1987,"Cincinnati, Ohio",1987,2011,(unknown),2011,2016,New York State Assembly,2016,2017,(unknown),2017,2019,One Hundred Fifteenth Congress,2019,2021,(unknown),2021,present,One Hundred Seventeenth Congress,,,,,,,,,,,,,,,,,,
1955,1974,"Atlanta, Fulton County, Ga.",1974,1978,"Los Angeles, Calif.",1978,1984,"Medford, Mass.",1984,1988,"Atlanta, Ga.",1988,1992,Georgia state house of representatives,1993,2003,U.S. Congress,2005,2007,U.S. Congress,2008,,(Green Party candidate for President of the United States),,,,,,,,,,,,,,,,,,,,,
1969,1987,"Reading, Penn.",1987,1991,"Albright College, Reading, Penn.",1991,1993,University of Connecticut,1993,1999,Harvard University,1999,2006,(career),2006,2019,"Braddock, Penn.",2019,2023,Pennsylvania,2023,2029,United States Senate,,,,,,,,,,,,,,,,,,,,,
1955,1975,"Madison, Wis.",1975,1984,"Cambridge, Mass.",1984,2008,"Fermi National Accelerator Laboratory, Illinois",2008,2011,Illinois (Representative),2011,2013,(Unsuccessful candidate for reelection),2013,present,Illinois (Representative),,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,1993,"North Caldwell, Essex County, N.J.",1993,1997,"Philadelphia, Pa.",1997,2004,"Cambridge, Mass.",2004,2010,(Various locations for work),2010,2012,(Washington D.C.),2017,Present,(Washington D.C.),,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,2013,"Harris County, Tex. and Portland, Oreg.",2013,2023,(unknown),2023,present,(currently serving in Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,1971,"Janesville, Rock County, Wis.",1971,1975,"Madison, Wis.",1975,1977,"Oxford, England",1977,1979,Harvard University Law School,1979,1985,"Madison, Wis.",1985,1993,"Beloit, Wis.",1993,2011,United States Senate,2011,Present,Unknown,,,,,,,,,,,,,,,,,,,,,
1968,1986,"Los Angeles, Los Angeles County, Calif.",1986,1991,"Berkeley, Calif.",1991,1997,"Davis, Calif.",1997,2000,"Palo Alto, Calif.",2000,2019,(Pediatrician),2019,Present,Washington D.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,
