familyName,givenName,middleName,profileText
White,Hays,Baxter,"A Representative from Kansas; born near Fairfield, Jefferson County, Iowa, on September 21, 1855; attended the rural schools of his native county; engaged in agricultural pursuits; moved to Jewell County, Kans., in 1875 and engaged in agricultural pursuits near Mankato; taught school at Mankato in 1876; member of the State house of representatives 1888-1890; member of the State senate 1900-1904; mayor of Mankato in 1914 and 1915; member of the State tax commission in 1915-1918; elected as a Republican to the Sixty-sixth and to the four succeeding Congresses (March 4, 1919-March 3, 1929); chairman, Committee on Election of President, Vice President, and Representatives (Sixty-eighth through Seventieth Congresses); election unsuccessfully contested by W.H. Clark; was not a candidate for renomination in 1928; died in Mankato, Kans., September 29, 1930; interment in Mount Hope Cemetery."
Lehman,William,,"A Representative from Florida; born in Selma, Dallas County, Ala., October 5, 1913; graduated from Dallas Academy and Selma High School, Selma, Ala., 1930; B.S., University of Alabama, Tuscaloosa, Ala., 1934; attended Oxford University, Oxford, England, 1965; auto dealer; teacher, Miami Norland Junior High School, Miami, Fla., 1963-1964; instructor, Miami Dade Junior College, Miami, Fla., 1965-1966; member, Dade County, Fla., school board, 1966-1972; elected as a Democrat to the Ninety-third and to the nine succeeding Congresses (January 3, 1973-January 3, 1993); was not a candidate for renomination to the One Hundred Third Congress in 1992; died on March 16, 2005, in Miami Beach, Fla."
Ford,Gerald,Rudolph,"A Representative from Michigan, Vice President, and thirty-eighth President of the United States; born in Omaha, Douglas County, Nebr., July 14, 1913; moved to Grand Rapids, Mich., 1914 and attended the public schools; graduated, University of Michigan at Ann Arbor, Mich., 1935; graduated from Yale University Law School, New Haven, Conn., 1941; admitted to the bar in 1941; served in the United States Navy 1942-1946; elected as a Republican to the Eighty-first Congress; reelected to the twelve succeeding Congresses and served from January 3, 1949, until his resignation from the United States House of Representatives December 6, 1973, to become the fortieth Vice President of the United States; minority leader (Eighty-ninth through Ninety-third Congresses); first Vice President to be nominated by the President and confirmed by the Congress pursuant to the twenty-fifth amendment to the Constitution of the United States; sworn in as the thirty-eighth President of the United States, August 9, 1974, when President Richard M. Nixon resigned, and served until January 20, 1977; unsuccessful candidate for election in 1976; died on December 26, 2006, in Rancho Mirage, Calif.; lay in state in the Capitol Rotunda, December 30, 2006, to January 2, 2007; interment at the Gerald R. Ford Presidential Museum and Library, Grand Rapids, Mich."
Mills,Roger,Quarles,"A Representative and a Senator from Texas; born in Todd County, Ky., March 30, 1832; attended the common schools; moved to Texas in 1849; studied law; admitted to the bar in 1852 and commenced practice in Corsicana, Tex.; member, State house of representatives 1859-1860; enlisted in the Confederate Army and served throughout the Civil War, attaining the rank of colonel of the Tenth Regiment, Texas Infantry; elected as a Democrat to the Forty-third and to the nine succeeding Congresses and served from March 4, 1873, until his resignation on March 29, 1892, having been elected Senator; chairman, Committee on Ways and Means (Fiftieth Congress), Committee on Interstate and Foreign Commerce (Fifty-second Congress); elected to the United States Senate in 1892 to fill the vacancy caused by the resignation of John H. Reagan; reelected in 1893 and served from March 30, 1892, to March 3, 1899; was not a candidate for reelection; died in Corsicana, Tex., September 2, 1911; interment in Oakwood Cemetery."
Woods,John,,"A Representative from Ohio; born in Johnstown, Dauphin County, Pa., October 18, 1794; moved with his parents to Ohio, where he attended the common schools; served in the War of 1812; after the war operated a school near Springborough for two years; studied law; was admitted to the bar in 1819 and commenced the practice of his profession in Hamilton, Butler County, Ohio; prosecuting attorney of Butler County 1820-1825; elected to the Nineteenth and Twentieth Congresses (March 4, 1825-March 3, 1829); unsuccessful candidate for reelection in 1828 to the Twenty-first Congress; became editor and publisher of the Hamilton Intelligencer in 1829; State auditor of Ohio from 1845 to 1851; president of the Cincinnati, Hamilton &amp; Indianapolis Railroad; died in Hamilton, Ohio, July 30, 1855; interment in Greenwood Cemetery."
Graham,William,,"A Representative from Indiana; born at sea March 16, 1782; settled with his parents in Harrodsburg, Mercer County, Ky.; attended the public schools; moved to Vallonia, Ind., in 1811; engaged in agricultural pursuits; member of the Territorial house of representatives in 1812; delegate to the State constitutional convention in 1816; member of the State house of representatives 1816-1821 and served as speaker; served in the State senate 1821-1833; elected as a Whig to the Twenty-fifth Congress (March 4, 1837-March 3, 1839); unsuccessful candidate for reelection in 1838 to the Twenty-sixth Congress; resumed agricultural pursuits; died near Vallonia, Ind., August 17, 1858; interment in the White Church Cemetery, Vallonia, Ind."
McCleery,James,,"A Representative from Louisiana; born in Mecca Township, Trumbull County, Ohio, December 2, 1837; attended Oberlin (Ohio) College in 1859 and 1860; served in the Union Army during the Civil War; commissioned second lieutenant of Company A, Forty-first Regiment, Ohio Volunteer Infantry, in 1861, and promoted through the ranks to major in 1865; entered the Regular Army as captain in the Forty-fifth Infantry in 1866 and subsequently received the brevets of major and brigadier general of Volunteers; retired December 15, 1870, and settled in St. Mary Parish, La.; purchased a plantation; practiced law and was connected with the Freedmen's Bureau in North Carolina and Louisiana; moved to Shreveport, La.; appointed superintendent of public education for the fourth division; elected as a Republican to the Forty-second Congress and served from March 4, 1871, until his death while on a visit in New York City November 5, 1871; interment in the Christian Church Cemetery, Cortland, Ohio."
Dyer,Leonidas,Carstarphen,"A Representative from Missouri; born near Warrenton, Warren County, Mo., June 11, 1871; attended the common schools, Central Wesleyan College, Warrenton, Mo., and Washington University, St. Louis, Mo.; studied law; was admitted to the bar in 1893 and commenced practice in St. Louis, Mo.; served in the Spanish-American War; was a member of the staff of Governor Hadley of Missouri, with the rank of colonel; commander in chief of the Spanish War Veterans in 1915 and 1916; elected as a Republican to the Sixty-second Congress (March 4, 1911-March 3, 1913); presented credentials as a Member-elect to the Sixty-third Congress and served from March 4, 1913, to June 19, 1914, when he was succeeded by Michael J. Gill, who contested his election; elected to the Sixty-fourth and to the eight succeeding Congresses (March 4, 1915-March 3, 1933); unsuccessful candidate for reelection in 1932 to the Seventy-third Congress and for election in 1934 to the Seventy-fourth Congress and in 1936 to the Seventy-fifth Congress; resumed the practice of law; died in St. Louis, Mo., December 15, 1957; interment in Oak Grove Cemetery."
Owens,Burgess,,"a Representative from Utah; born in Columbus, Franklin County, Ohio, August 2, 1951; graduated from James S. Rickards High School, Tallahassee, Fla., 1969; B.S., University of Miami, Coral Gables, Fla., 1975; professional athlete; business executive; nonprofit executive; entrepreneur; elected as a Republican to the One Hundred Seventeenth and to the succeeding Congress (January 3, 2021-present)."
Preston,Francis,,"A Representative from Virginia; born in Greenfield, Botetourt County, Va., August 2, 1765; was graduated from the College of William and Mary, Williamsburg, Va., in 1783; studied law; was admitted to the bar and practiced in Montgomery and Washington Counties; member of the state house of delegates in 1788 and 1789; elected as an Anti-Administration candidate to the Third Congress and reelected as a Republican to the Fourth Congress (March 4, 1793-March 3, 1797); declined to be a candidate for renomination; settled in Abingdon, Va., and resumed the practice of law; again a member of the state house of delegates 1812-1814; colonel of Volunteers in the War of 1812; served in the state senate 1816-1820; died at the home of his son, William C. Preston, in Columbia, S.C., May 26, 1835; interment in Aspinvale Cemetery, near Seven Mile Ford, Va."
