id,start_1,end_1,location_1,start_2,end_2,location_2,start_3,end_3,location_3,start_4,end_4,location_4,start_5,end_5,location_5,start_6,end_6,location_6,start_7,end_7,location_7,start_8,end_8,location_8,start_9,end_9,location_9,start_10,end_10,location_10,start_11,end_11,location_11,start_12,end_12,location_12,start_13,end_13,location_13,start_14,end_14,location_14,start_15,end_15,location_15,start_16,end_16,location_16,start_17,end_17,location_17,start_18,end_18,location_18
C001059,1952,1970,"Fresno, Fresno County, Calif.",1970,1974,"California State University, Fresno, Calif.",1974,1978,"Fresno, Fresno County, Calif.",1978,1994,California State Assembly,1994-2002,,California State Senate,2002,2005,"Fresno, Fresno County, Calif.",2005,Present,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001158,1953,1973,"Alamosa, Alamosa County, Colo.",1973,1976,United States Army,1976,1981,"Alamosa, Colo.",1981,1999,"Alamosa, Colo. (Farmer, Rancher, Business Owner)",1999-2002,,Colorado (Colorado Agricultural Commission),2003,2004,Colorado (State House of Representatives),2005,2011,Congress,2011,Present,"Alamosa, Colo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001155,1967,1985,"Fort Myers, Lee County, Fla.",1985,1993,"Gainesville, Fla.",1993,2000,"Fort Myers, Lee County, Fla.",2000,2003,Florida State House of Representatives,2003-2005,,Marketing Executive,2005,2013,Congress,2013,2021,"Fort Myers, Lee County, Fla.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W000797,1966,1984,"Forest Hills, Queens County, N.Y.",1984,1990,"Gainesville, Fla.",1990,1992,Staff for U.S. Representative Peter Deutsch,1992,2000,Florida State House of Representatives,2000-2004,,Florida State Senate,2005,Present,U.S. Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P000591,1954,1972,"Lansing, Ingham County, Mich.",1972,1976,"Dearborn, Mich.",1976,1979,"Ann Arbor, Mich.",1979,1997,Physician (Location not specified),1997-2004,,Georgia,2005,2017,Congress,2017,,Secretary of Health and Human Services (Location not specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W000796,1950,1968,"Atlanta, Fulton County, Ga.",1969,1971,"Georgia State University, Atlanta, Ga.",1971,1993,"Atlanta, Ga. (Real Estate Developer)",1993,2004,Georgia State House of Representatives,2005-2017,,Congress,2017,Present,"Atlanta, Fulton County, Ga.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001252,1955,1973,"Athens, Clarke County, Ga.",1973,1976,"University of Georgia, Athens, Ga.",1976,1979,"Cambridge, Mass.",1979,1990,Private practice,1990-2004,,"Athens-Clarke, Georgia",2005,2015,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L000563,1966,1984,"Chicago, Cook County, Ill.",1984,1988,"Evanston, Ill.",1988,1989,"Stanford, Calif.",1989,1998,"Durham, N.C.",1998-2000,,"Washington, D.C.",2000,2001,"South Bend, Ind.",2001,2004,"Knoxville, Tenn.",1993,1994,Illinois (Staff for Rep. Sangmeister),1995,1996,Illinois (Staff for Rep. Costello),1999,2000,Illinois (Staff for Rep. Blagojevich),2005,2021,Congress,,,,,,,,,,,,,,,,,,,,,
B001253,1962,1980,"Chicago, Cook County, Ill.",1980,1982,"Des Plaines, Ill.",1982,2002,"Chicago, Ill.",2002,2005,Consultant and businesswoman,2005-2011,,Congress,2011,2021,Unsuccessful candidate for re-election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001160,1945,1966,"New Albany, Floyd County, Ind.",1966,1973,United States Army National Guard,1973,2005,Indiana (Business owner),2005,2007,Congress,2007-2022,,Indiana (Unsuccessful candidate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
