id,year,fips_new,fips_old,hand check,note
A000361,1946,22049,22049,b,
A000361,1947,22049,,n,
A000361,1948,22049,,n,
A000361,1949,22049,,n,
A000361,1950,22049,,n,
A000361,1951,22049,,n,
A000361,1952,22049,,n,
A000361,1953,22049,,n,
A000361,1954,22049,,n,
A000361,1955,22049,,n,
A000361,1956,22049,,n,
A000361,1957,22049,,n,
A000361,1958,22049,,n,
A000361,1959,22049,,n,
A000361,1960,22049,,n,
A000361,1961,22049,,n,
A000361,1962,22049,,n,
A000361,1963,22049,,n,
A000361,1964,22073,22049,,
A000361,1964,22049,22049,,
A000361,1965,22073,,n,
A000361,1966,22073,,n,
A000361,1967,22073,,n,
A000361,1968,22073,,n,
A000361,1969,,,,
A000361,1970,,22049,w,not specified
A000361,1971,,22049,w,not specified
A000361,1972,,22049,w,not specified
A000361,1973,,22049,w,not specified
A000361,1974,,22049,w,not specified
A000361,1975,,22049,w,not specified
A000361,1976,,22049,w,not specified
A000361,1977,,22049,w,not specified
A000361,1978,,22049,w,not specified
A000361,1979,,22049,w,not specified
A000361,1980,,22049,w,not specified
A000361,1981,,22049,w,not specified
A000361,1982,,22049,w,not specified
A000361,1983,,22049,w,not specified
A000361,1984,,22049,w,not specified
A000361,1985,,22049,w,not specified
A000361,1987,,22033,,not specified (Louisiana state house of representatives - Baton Rouge?)
A000361,1988,,22033,,not specified
A000361,1989,,22033,,not specified
A000361,1990,,22033,,not specified
A000361,1991,,22033,,not specified
A000361,1992,,22033,,not specified
A000361,1993,,22033,,not specified
A000361,1994,,22033,,not specified
A000361,1995,,22033,,not specified
A000361,1996,,22033,,not specified
A000361,1997,,22033,,not specified
A000361,1998,,22033,,not specified
A000361,1999,,22033,,not specified
A000361,2000,,22033,,not specified
A000361,2001,,22033,,not specified
A000361,2002,,22033,,not specified
A000361,2002,,,,not specified
A000361,2004,,,,not specified
A000366,1956,26163,26163,b,
A000366,1957,26163,,n,
A000366,1958,26163,,n,
A000366,1959,26163,,n,
A000366,1960,26163,,n,
A000366,1961,26163,,n,
A000366,1962,26163,,n,
A000366,1963,26163,,n,
A000366,1964,26163,,n,
A000366,1965,26163,,n,
A000366,1966,26163,,n,
A000366,1967,26163,,n,
A000366,1968,26163,,n,
A000366,1969,26163,,n,
A000366,1970,26163,,n,
A000366,1971,26163,,n,
A000366,1972,26163,,n,
A000366,1973,26163,,n,
A000366,1974,26163,,n,
A000366,1975,,,,
A000366,1985,12095,12095,b,
A000366,1986,12095,12095,b,
A000366,1987,12095,12095,b,
A000366,1988,12095,12095,b,
A000366,1989,12095,12095,b,
A000366,1990,12095,12095,b,
A000366,1991,12095,12095,b,
A000366,1992,12095,12095,b,
A000366,1993,12095,12095,b,
A000366,1994,12095,12095,b,
A000366,1995,12095,12095,b,
A000366,1996,12095,12095,b,
A000366,1997,12095,12095,b,
A000366,1998,12095,12095,b,
A000366,1999,12095,12095,b,
A000366,2000,12095,12095,b,
A000366,2001,12095,12095,b,
A000366,2002,12095,12095,b,
A000366,2002,12095,12095,b,
A000366,2002,12095,12083,w,Florida state house of representative count as living in Tallahassee? Plus both do not indicate Tallahassee
A000366,2002,12095,12083,w,
A000366,2003,12095,12083,w,
A000366,2004,12095,12083,w,
A000366,2005,12095,12083,w,
A000366,2006,12095,12083,w,
A000366,2007,12095,12083,w,
A000366,2008,12095,12083,w,
A000366,2009,12095,12083,w,
A000366,2010,12095,12083,w,
A000366,2010,12095,12083,w,
A000366,2012,,,,
A000374,1954,22083,,n,
A000374,1955,22083,,n,
A000374,1956,22083,,n,
A000374,1957,22083,,n,
A000374,1958,22083,,n,
A000374,1959,22083,,n,
A000374,1960,22083,,n,
A000374,1961,22083,,n,
A000374,1962,22083,,n,
A000374,1963,22083,,n,
A000374,1964,22083,,n,
A000374,1965,22083,,n,
A000374,1966,22083,,n,
A000374,1967,22083,,n,
A000374,1968,22083,,n,
A000374,1969,22083,,n,
A000374,1970,22083,,n,
A000374,1971,22083,,n,
A000374,1972,22033,22083,,
A000374,1972,22083,22083,,
A000374,1973,22033,22033,b,
A000374,1974,22033,22033,b,
A000374,1975,22033,22033,b,
A000374,1976,22033,22033,b,
A000374,1977,22033,,n,
A000374,1978,22033,,n,
A000374,1979,22033,,n,
A000374,1980,22033,22033,b,
A000374,1986,,28081,o,check timeline
A000374,1987,,28081,o,
A000374,1988,,28081,o,
A000374,1989,,28081,o,
A000374,1994,22071,22071,b,1991-1994 should all be in NOLA
A000374,1995,22071,,o,check timeline
A000374,1996,22071,,o,
A000374,1997,22071,,o,
A000374,1998,22071,,o,
A000374,1999,22071,,o,
A000374,2000,22071,,o,
A000374,2001,22071,,o,
A000374,2002,22071,,o,
A000374,2003,22071,,o,
A000374,2004,22071,,o,
A000374,2005,22071,,o,
A000374,2006,22071,,o,
A000374,2007,22071,,o,
A000374,2008,22071,,o,
A000374,2009,22071,,o,
A000374,2010,22071,,o,
A000374,2011,22071,,o,
A000374,2012,22071,,o,
A000374,2013,22071,,o,
A000374,2014,22071,,o,
A000374,2015,22071,,o,
A000374,2016,,,,
A000374,2017,,,,
A000378,1965,26081,,,not in the old database
A000378,1966,26081,,,
A000378,1967,26081,,,
A000378,1968,26081,,,
A000378,1969,26081,,,
A000378,1970,26081,,,
A000378,1971,26081,,,
A000378,1972,26081,,,
A000378,1973,26081,,,
A000378,1974,26081,,,
A000378,1975,26081,,,
A000378,1976,26081,,,
A000378,1977,26081,,,
A000378,1978,26081,,,
A000378,1979,26081,,w,should be in Iowa
A000378,1980,26081,,w,should be in Iowa
A000378,1981,26081,,w,should be in Iowa
A000378,1982,26081,,w,misplaced; should be in Iowa (19153)
A000378,1983,19153,,w,misplaced; should be 19103
A000378,1983,26081,,w,
A000378,1984,19153,,w,misplaced; should be 19103
A000378,1985,19153,,w,misplaced; should be 19103
A000378,1986,19153,,w,misplaced; should be 19103
A000378,1987,19103,,,misplaced; should be 19103
A000378,1987,19153,,,
A000378,1988,19103,,,
A000378,1989,19103,,,
A000378,1990,19103,,,
A000378,1991,19103,,,
A000378,1992,19103,,,
A000378,1993,19103,,,
A000378,1994,19103,,,
A000378,1995,19103,,,
A000378,1996,19103,,,
A000378,1997,19103,,,
A000378,1998,19103,,,
A000378,1999,19103,,,
A000378,2000,19103,,,
A000378,2001,19103,,,
A000378,2002,17031,,,
A000378,2002,19103,,,
A000378,2003,17031,,w,
A000378,2004,17031,,w,
A000378,2005,17031,,w,
A000378,2006,17031,,w,
A000378,2007,17031,,w,
A000378,2008,17031,,w,
A000378,2009,17031,,w,
A000378,2010,17031,,w,
A000378,2011,17031,,w,
A000378,2012,17031,,w,
A000378,2013,17031,,w,
A000378,2014,17031,,w,
A000378,2015,17031,,w,
A000378,2016,17031,,w,
A000378,2017,17031,,w,
A000378,2018,17031,,w,
A000378,2019,17031,,w,
B000617,1954,48029,48029,b,
B000617,1955,48029,,b,
B000617,1956,48029,,b,
B000617,1957,48029,,b,
B000617,1958,48029,,b,
B000617,1959,48029,,b,
B000617,1960,48029,,b,
B000617,1961,48029,,b,
B000617,1962,48029,,b,
B000617,1963,48029,,b,
B000617,1964,48029,,b,
B000617,1965,48029,,b,
B000617,1966,48029,,b,
B000617,1967,48029,,b,
B000617,1968,48029,,b,
B000617,1969,48029,,b,
B000617,1970,48029,,b,
B000617,1971,48029,,b,
B000617,1972,48453,48029,,
B000617,1972,48029,48029,,
B000617,1973,48453,,n,
B000617,1974,48453,,n,
B000617,1975,48453,,n,
B000617,1976,48453,48453,b,
B000617,1981,,,,
B001149,1938,18097,18097,b,
B001149,1939,18097,,n,
B001149,1940,18097,,n,
B001149,1941,18097,,n,
B001149,1942,18097,,n,
B001149,1943,18097,,n,
B001149,1944,18097,,n,
B001149,1945,18097,,n,
B001149,1946,18097,,n,
B001149,1947,18097,,n,
B001149,1948,18097,,n,
B001149,1949,18097,,n,
B001149,1950,18097,,n,
B001149,1951,18097,,n,
B001149,1952,18097,,n,
B001149,1953,18097,,n,
B001149,1954,18097,,n,
B001149,1955,18097,,n,
B001149,1956,18097,18097,n,
B001149,1957,18097,18097,n,
B001149,1957,18097,8071,,
B001149,1958,,18097,o,
B001149,1958,,18097,,
B001149,1958,,8071,,
B001149,1958,,,,
B001149,1959,,39061,o,
B001149,1959,,,,
B001149,1960,,39061,o,
B001149,1960,,,,
B001149,1961,,,,
B001149,1962,18097,,,
B001149,1963,18097,,,
B001149,1964,18097,,,
B001149,1965,18097,,,
B001149,1966,18097,,,
B001149,1967,18097,,,
B001149,1968,18097,,,
B001149,1969,18097,,,
B001149,1970,18097,,,
B001149,1971,18097,,,
B001149,1972,18097,,,
B001149,1973,18097,,,
B001149,1974,18097,,,
B001149,1975,18097,,,
B001149,1976,18097,,,
B001149,1977,18097,,,
B001149,1980,18097,,,
B001149,1981,18097,,,
B001149,1982,11001,,,DC
B001149,1983,11001,,,
B001149,1984,11001,,,
