last_name,first_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,city/county,state/country,school name,school city/county,school state/country,public school
Bassett,Richard,1745-04-02,M,sen,DE,,2.0,Anti-Administration,,,,,,,,,,B000226,,,,,,401222,,,,507.0,Richard Bassett (politician),Cecil County,Md,,,,0
Bland,Theodorick,1742-03-21,M,rep,VA,9.0,,,,,,,,,,,,B000546,,,,,,401521,,,,786.0,Theodorick Bland (congressman),Cawsons,Va,,,,0
Burke,Aedanus,1743-06-16,M,rep,SC,2.0,,,,,,,,,,,,B001086,,,,,,402032,,,,1260.0,Aedanus Burke,Galway,Ireland,,St. Omer,France,0
Carroll,Daniel,1730-07-22,M,rep,MD,6.0,,,,,,,,,,,,C000187,,,,,,402334,,,,1538.0,Daniel Carroll,Upper Marlboro,Md,,,,0
Clymer,George,1739-03-16,M,rep,PA,-1.0,,,,,,,,,,,,C000538,,,,,,402671,,,,1859.0,George Clymer,Philadelphia,Pa,,,,0
Contee,Benjamin,,M,rep,MD,3.0,,,,,,,,,,,,C000710,,,,,,402834,,,,2010.0,Benjamin Contee,,,,,,0
Dalton,Tristram,1738-05-28,M,sen,MA,,1.0,Pro-Administration,,,,,,,,,,D000013,,,,,,403156,,,,2307.0,Tristram Dalton,Newburyport,Mass,,,,0
Elmer,Jonathan,1745-11-29,M,sen,NJ,,1.0,Pro-Administration,,,,,,,,,,E000155,,,,,,403846,,,,2943.0,Jonathan Elmer,Cedarville,N.J,,,,0
Few,William,1748-06-08,M,sen,GA,,2.0,Anti-Administration,,,,,,,,,,F000100,,,,,,404057,,,,3128.0,William Few,Baltimore,Md,,,,0
Floyd,William,1734-12-17,M,rep,NY,1.0,,,,,,,,,,,,F000224,,,,,,404179,,,,3237.0,William Floyd,Brookhaven,N.Y,,,,0
Gale,George,1756-06-03,M,rep,MD,5.0,,,,,,,,,,,,G000012,,,,,,404389,,,,3430.0,George Gale (congressman),Somerset County,Md,,,,0
Grayson,William,,M,sen,VA,,1.0,Anti-Administration,,,,,,,,,,G000403,,,,,,404753,,,,3771.0,William Grayson,,,,,,0
Grout,Jonathan,1737-07-23,M,rep,MA,8.0,,,,,,,,,,,,G000500,,,,,,404845,,,,3857.0,Jonathan Grout,Lunenburg,Mass,,,,0
Hawkins,Benjamin,1754-08-15,M,sen,NC,,3.0,Pro-Administration,,,,,,,,,,H000368,,,,,,405237,,,,4212.0,Benjamin Hawkins,Granville,N.C,,,,0
Huntington,Benjamin,1736-04-19,M,rep,CT,-1.0,,,,,,,,,,,,H000995,,,,,,405835,,,,4766.0,Benjamin Huntington,Norwich,Conn,,,,0
Izard,Ralph,,M,sen,SC,,3.0,Pro-Administration,,,,,,,,,,I000053,,,,,,412129,,,,4837.0,Ralph Izard,,,,,,0
Johnson,William,1727-10-07,M,sen,CT,,3.0,Pro-Administration,,,,,,,,,,J000182,,,,,,406077,,,,4998.0,William Samuel Johnson,Stratford,Conn,,,,0
Johnston,Samuel,1733-12-15,M,sen,NC,,2.0,Pro-Administration,,,,,,,,,,J000198,,,,,,406093,,,,5012.0,Samuel Johnston,Dundee,Scotland,,New England,New England,0
Lee,Richard,1732-01-20,M,sen,VA,,2.0,Anti-Administration,,,,,,,,,,L000201,,,,,,406704,,,,5565.0,Richard Henry Lee,Stratford,Va,Wakefield Academy,England,England,0
Maclay,William,1737-07-20,M,sen,PA,,1.0,Anti-Administration,,,,,,,,,,M000031,,,,,,407058,,,,5891.0,William Maclay (Pennsylvania senator),New Garden,Pa,,,,0
Mathews,George,1739-08-30,M,rep,GA,3.0,,,,,,,,,,,,M000234,,,,,,407252,,,,6071.0,George Mathews (Georgia),Augusta County,Va,,,,0
Morris,Robert,1734-01-20,M,sen,PA,,3.0,Pro-Administration,,,,,,,,,,M000985,,,,,,407953,,,,6712.0,Robert Morris (financier),Liverpool,England,,Philadelphia,Philadelphia,0
Partridge,George,1740-02-08,M,rep,MA,5.0,,,,,,,,,,,,P000092,,,,,,408502,,,,7224.0,George Partridge,Duxbury,Mass,,,,0
Paterson,William,1745-12-24,M,sen,NJ,,2.0,Pro-Administration,,,,,,,,,,P000102,,,,,,408510,,,,7231.0,William Paterson (judge),County Antrim,Ireland,,,,0
Smith,William,1728-04-12,M,rep,MD,4.0,,,,,,,,,,,,S000624,,,,,,410099,,,,8693.0,William Smith (Maryland),Donegal Township,Pa,,,,0
Stone,Michael,,M,rep,MD,1.0,,,,,,,,,,,,S000961,,,,,,410420,,,,8983.0,Michael J. Stone,,,,,,0
Van Rensselaer,Jeremiah,1738-08-27,M,rep,NY,6.0,,,,,,,,,,,,V000053,,,,,,411095,,,,9629.0,Jeremiah Van Rensselaer,,,,,,0
Wynkoop,Henry,1737-03-02,M,rep,PA,-1.0,,,,,,,,,,,,W000783,,,,,,411931,,,,10405.0,Henry Wynkoop,Northampton Township,Pa,,,,0
Dickinson,Philemon,1739-04-05,M,sen,NJ,,2.0,Pro-Administration,,,,,,,,,,D000324,,,,,,403444,,,,2576.0,Philemon Dickinson,Crosiadore,Md,,,,0
Walker,John,1744-02-13,M,sen,VA,,1.0,Pro-Administration,,,,,,,,,,W000059,,,,,,411238,,,,9747.0,John Walker (Virginia politician),Castle Hill,Va,,,,0
Ashe,John,,M,rep,NC,3.0,,,,,,,,,,,,A000307,,,,,,400951,,,,259.0,John Baptista Ashe (Continental Congress),,,,,,0
Barnwell,Robert,1761-12-21,M,rep,SC,2.0,,,,,,,,,,,,B000167,,,,,,401169,,,,456.0,Robert Barnwell,Beaufort,S.C,,,,0
Burr,Aaron,1756-02-06,M,sen,NY,,1.0,Republican,,,,,,,,,,B001133,,,,,,402077,,,,1302.0,Aaron Burr,Newark,N.J,,,,0
Cabot,George,1752-12-03,M,sen,MA,,1.0,Federalist,,,,,,,,,,C000009,,,,,,402171,,,,1384.0,George Cabot,Salem,Mass,,,,0
Carroll,Charles,1737-09-19,M,sen,MD,,1.0,,,,,,,,,,,C000185,,,,,,402332,,,,1536.0,Charles Carroll of Carrollton,Annapolis,Md,,,,0
Ellsworth,Oliver,1745-04-29,M,sen,CT,,1.0,Federalist,,,,,,,,,,E000147,,,,,,403838,,,,2936.0,Oliver Ellsworth,Windsor,Conn,,,,0
Gerry,Elbridge,1744-07-17,M,rep,MA,3.0,,,,,,,,,,,,G000139,,,,,,404507,,,,3541.0,Elbridge Gerry,Marblehead,Mass,,,,0
Huger,Daniel,1742-02-20,M,rep,SC,3.0,,,,,,,,,,,,H000916,,,,,,405761,,,,4695.0,Daniel Huger,St Johns,S.C,,,,0
Jacobs,Israel,1726-06-09,M,rep,PA,3.0,,,,,,,,,,,,J000036,,,,,,405941,,,,4871.0,Israel Jacobs,Perkiomen Creek,Pa,,,,1
Key,Philip,,M,rep,MD,1.0,,,,,,,,,,,,K000158,,,,,,406322,,,,5224.0,Philip Key (U.S. politician),,,,,,0
Read,George,1733-09-18,M,sen,DE,,1.0,,,,,,,,,,,R000091,,,,,,409071,,,,7762.0,"George Read (American politician, born 1733)",North East,Md,,,,0
Robinson,Moses,1741-03-22,M,sen,VT,,1.0,Anti-Administration,,,,,,,,,,R000350,,,,,,409321,,,,7989.0,Moses Robinson,Hardwick,Mass,,,,0
Schoonmaker,Cornelius,,M,rep,NY,4.0,,,,,,,,,,,,S000140,,,,,,409648,,,,8272.0,Cornelius C. Schoonmaker,,,,,,0
Seney,Joshua,1756-03-04,M,rep,MD,2.0,,,,,,,,,,,,S000242,,,,,,409746,,,,8363.0,Joshua Seney,Church Hill,Md,,,,0
Sheredine,Upton,,M,rep,MD,6.0,,,,,,,,,,,,S000340,,,,,,409837,,,,8449.0,Upton Sheredine,,,,,,0
Sherman,Roger,1721-04-19,M,sen,CT,,3.0,Pro-Administration,,,,,,,,,,S000349,,,,,,409845,,,,8457.0,Roger Sherman,Newton,Mass,,,,1
Silvester,Peter,,M,rep,NY,5.0,,,,,,,,,,,,S000412,,,,,,409906,,,,8511.0,Peter Silvester (1734–1808),,,,,,0
Steele,John,1764-11-16,M,rep,NC,1.0,,,,,,,,,,,,S000832,,,,,,410296,,,,8869.0,John Steele (North Carolina politician),Salisbury,N.C,,,,0
Sterett,Samuel,,M,rep,MD,4.0,,,,,,,,,,,,S000866,,,,,,410328,,,,8896.0,Samuel Sterett,,,,,,0
Sturges,Jonathan,1740-08-23,M,rep,CT,-1.0,,,,,,,,,,,,S001047,,,,,,410501,,,,9062.0,Jonathan Sturges,Fairfield,Conn,,,,0
Tucker,Thomas,1745-06-25,M,rep,SC,5.0,,,,,,,,,,,,T000403,,,,,,410972,,,,9501.0,Thomas Tudor Tucker,Port Royal,Bermuda,,,,0
Wayne,Anthony,1745-01-01,M,rep,GA,1.0,,,,,,,,,,,,W000216,,,,,,411384,,,,9885.0,Anthony Wayne,East Town,Pa,Philadelphia Academy,,,0
White,Alexander,,M,rep,VA,1.0,,,,,,,,,,,,W000352,,,,,,411514,,,,10006.0,Alexander White (Virginia),,,,Gray’s Inn,Gray’s Inn,0
Williamson,Hugh,1735-12-05,M,rep,NC,4.0,,Federalist,,,,,,,,,,W000551,,,,,,411707,,,,10193.0,Hugh Williamson,Oterara Creek,Pa,,,,0
Willis,Francis,1745-01-05,M,rep,GA,3.0,,,,,,,,,,,,W000560,,,,,,411716,,,,10202.0,Francis Willis (Representative),Frederick County,Va,,,,0
Edwards,John,,M,sen,KY,,3.0,Anti-Administration,,,,,,,,,,E000075,,,,,,403764,,,,2866.0,John Edwards (Kentucky politician),,,,,,0
Potts,Richard,1753-07-19,M,sen,MD,,3.0,Federalist,,,,,,,,,,P000473,,,,,,408858,,,,7564.0,Richard Potts,Upper Marlboro,Md,,,,0
Armstrong,James,1748-08-29,M,rep,PA,-1.0,,,,,,,,,,,,A000280,,,,,,400920,,,,231.0,James Armstrong (Pennsylvania),Carlisle,Pa,,,,0
Beatty,John,1749-12-10,M,rep,NJ,-1.0,,,,,,,,,,,,B000282,,,,,,401276,,,,554.0,John Beatty (Continental Congress),Neshaminy,Pa,,,,0
Boudinot,Elias,1740-05-02,M,rep,NJ,-1.0,,,,,,,,,,,,B000661,,,,,,401623,,,,878.0,Elias Boudinot,Philadelphia,Pa,,,,0
Bourne,Shearjashub,1746-06-14,M,rep,MA,3.0,,,,,,,,,,,,B000671,,,,,,401633,,,,886.0,Shearjashub Bourne,Barnstable,Mass,,,,0
Bradford,William,1729-11-04,M,sen,RI,,2.0,Federalist,,,,,,,,,,B000739,,,,,,401699,,,,951.0,William Bradford (Rhode Island),Plympton,Mass,,,,0
Cadwalader,Lambert,,M,rep,NJ,-1.0,,,,,,,,,,,,C000012,,,,,,402174,,,,1387.0,Lambert Cadwalader (representative),,,,,,0
Carnes,Thomas,,M,rep,GA,-1.0,,,,,,,,,,,,C000163,,,,,,402311,,,,1518.0,Thomas P. Carnes,,,,,,0
Clark,Abraham,1726-02-15,M,rep,NJ,-1.0,,,,,,,,,,,,C000418,,,,,,402557,,,,1750.0,Abraham Clark,Elizabeth,N.J,,,,0
Cobb,David,1748-09-14,M,rep,MA,-1.0,,,,,,,,,,,,C000545,,,,,,402678,,,,1865.0,David Cobb (Massachusetts),Attleboro,Mass,,,,0
Coffin,Peleg,1756-11-03,M,rep,MA,3.0,,,,,,,,,,,,C000591,,,,,,402720,,,,1906.0,Peleg Coffin Jr.,Nantucket,Mass,,,,0
Dawson,William,,M,rep,NC,8.0,,Anti-Administration,,,,,,,,,,D000157,,,,,,412032,,,,2432.0,William Johnston Dawson,,,,,,0
Edwards,Benjamin,1753-08-12,M,rep,MD,3.0,,,,,,,,,,,,E000060,,,,,,403755,,,,2859.0,Benjamin Edwards (Maryland),Stafford County,Va,,,,0
Fitzsimons,Thomas,,M,rep,PA,-1.0,,,,,,,,,,,,F000178,,,,,,404133,,,,3196.0,Thomas Fitzsimons,,,,,,0
Forrest,Uriah,,M,rep,MD,3.0,,,,,,,,,,,,F000282,,,,,,404232,,,,3285.0,Uriah Forrest,,,,,,0
Frelinghuysen,Frederick,1753-04-13,M,sen,NJ,,2.0,Federalist,,,,,,,,,,F000368,,,,,,404314,,,,3361.0,Frederick Frelinghuysen (general),Somerville,N.J,,,,0
Gillon,Alexander,,M,rep,SC,5.0,,,,,,,,,,,,G000211,,,,,,404574,,,,3607.0,Alexander Gillon,,,,,,0
Gordon,James,1739-10-31,M,rep,NY,9.0,,,,,,,,,,,,G000311,,,,,,404669,,,,3695.0,James Gordon (New York),Killead,Ireland,,,,0
Griffin,Samuel,,M,rep,VA,13.0,,,,,,,,,,,,G000466,,,,,,404811,,,,3825.0,Samuel Griffin,,,,,,0
Holten,Samuel,1738-06-09,M,rep,MA,1.0,,,,,,,,,,,,H000750,,,,,,405601,,,,4546.0,Samuel Holten,Danvers,Mass,,,,0
Irvine,William,1741-11-03,M,rep,PA,-1.0,,,,,,,,,,,,I000035,,,,,,405892,,,,4820.0,William Irvine (general),County Fermanagh,Ireland,,,,0
Learned,Amasa,1750-11-15,M,rep,CT,-1.0,,,,,,,,,,,,L000178,,,,,,406680,,,,5543.0,Amasa Learned,Killingly,Conn,,,,0
Lee,Richard,1761-01-20,M,rep,VA,17.0,,,,,,,,,,,,L000200,,,,,,406703,,,,5564.0,Richard Bland Lee,Leesylvania,Va,,,,0
Martin,Alexander,,M,sen,NC,,2.0,Republican,,,,,,,,,,M000166,,,,,,407188,,,,6012.0,Alexander Martin,,,,,,0
McDowell,Joseph,1758-02-25,M,rep,NC,1.0,,,,,,,,,,,,M000424,,,,,,407423,,,,6230.0,"Joseph ""Pleasant Gardens"" McDowell",Pleasant Gardens,N.C,,Winchester,Va.,0
Mebane,Alexander,1744-11-26,M,rep,NC,4.0,,,,,,,,,,,,M000622,,,,,,407611,,,,6401.0,Alexander Mebane,Hawfields,N.C,,Orange County,Orange County,0
Mercer,John,1759-05-17,M,rep,MD,2.0,,,,,,,,,,,,M000645,,,,,,407631,,,,6418.0,John Francis Mercer,Marlborough,Va,,,,0
Mitchell,Stephen,1743-12-09,M,sen,CT,,3.0,Pro-Administration,,,,,,,,,,M000828,,,,,,407803,,,,6574.0,Stephen Mix Mitchell,Wethersfield,Conn,,,,0
Montgomery,William,1736-08-03,M,rep,PA,-1.0,,,,,,,,,,,,M000873,,,,,,407845,,,,6608.0,William Montgomery (Pennsylvania),Londonderry Township,Pa,,,,0
Neville,Joseph,,M,rep,VA,3.0,,,,,,,,,,,,N000055,,,,,,408143,,,,6883.0,Joseph Neville,,,,,,0
Niles,Nathaniel,1741-04-03,M,rep,VT,2.0,,,,,,,,,,,,N000109,,,,,,408193,,,,6932.0,Nathaniel Niles (politician),South Kingston,R.I,,,,0
Pickens,Andrew,1739-09-13,M,rep,SC,6.0,,,,,,,,,,,,P000320,,,,,,408719,,,,7425.0,Andrew Pickens (congressman),Paxton,Pa,,,,0
